BI_SNV_SBS1_P	BI_SNV_SBS2_P	BI_SNV_SBS4_P	BI_SNV_SBS5_P	BI_SNV_SBS7a_S	BI_SNV_SBS7b_S	BI_SNV_SBS7c_S	BI_SNV_SBS8_P	BI_SNV_SBS9_P	BI_SNV_SBS10a_S	BI_SNV_SBS11_S	BI_SNV_SBS12_P	BI_SNV_SBS13_P	BI_SNV_SBS14_S	BI_SNV_SBS15_S	BI_SNV_SBS16_P	BI_SNV_SBS17a_P	BI_SNV_SBS17b_P	BI_SNV_SBS18_P	BI_SNV_SBS19_P	BI_SNV_SBS21_S	BI_SNV_SBS22_P	BI_SNV_SBS26_S	BI_SNV_SBS28_P	BI_SNV_SBS30_P	BI_SNV_SBS31_P	BI_SNV_SBS33_P	BI_SNV_SBS36_P	BI_SNV_SBS37_P	BI_SNV_SBS38_S	BI_SNV_SBS39_P	BI_SNV_SBS40_P	BI_SNV_SBS60_P	BI_SNV_SBS55_S	BI_SNV_SBS44_S	BI_SNV_SBS61_S	BI_SNV_SBS62_S	BI_SNV_SBS63_P	BI_SNV_SBS64_S	BI_SNV_SBS65_S	BI_SNV_SBS66_S	BI_SNV_SBS67_P	BI_SNV_SBS68_S	BI_SNV_SBS69_P	BI_SNV_SBS70_P	BI_SNV_SBS71_P	BI_SNV_SBS72_S	BI_SNV_SBS73_S	BI_SNV_SBS74_P	BI_SNV_SBS75_S	BI_SNV_SBS76_S	BI_SNV_SBS77_S	BI_SNV_SBS78_P	BI_SNV_SBS79_P	BI_SNV_SBS80_S	BI_SNV_SBS81_S	BI_SNV_SBS82_P	feature
0.002574479	0.000607539	0.000688126	0.002635854	0.000598742	0.002966437	0.050713587	0.003339969	0.039993412	0.110449865	0.000423596	0.003153406	0.000325607	0.003737783	0.002269679	0.010518032	0.069695111	0.086284576	0.004629275	0.001922211	0.001295997	0.000952883	0.003522523	0.214070116	0.001804065	0.001404554	0.0008379	0.00098138	0.015195123	0.002749524	0.007423447	0.036436143	0	0.006287522	0.005895615	0.210850399	0.085896119	0.016957333	0.000559602	0.071558999	0.09490588	0.006768748	0.000660593	0.003795544	0.004960112	0.066354394	0.002261394	0.002031812	0.008783652	0.018217944	0.234130645	0.006025276	0.009248538	0.032463549	0.007227843	0.032228698	0	T>G_at_TTT
0.000205651	9.54E-05	0.00026822	0.000168693	0.001146241	0.003266972	0.004183497	0.002493636	0.002112247	0.001802895	0.000156079	0.000605968	0.000145754	0.005344092	0.001591191	0.002719406	0.023310444	0.086460886	0.000185926	0.001086378	0.001422578	0.000343374	0.00519439	0.046551429	0.000367328	0.000420486	0.000146539	0.000216349	0.011908376	0.001260114	0.006065296	0.000956396	5.46E-27	0.009663739	0.00206368	0.005788614	0.002939911	0.001482632	0.001248711	0.005919943	0.007648039	0.004451846	0.0001247	0.001768643	0.001204328	0.002139228	0.007636542	0.007542375	0.00480416	0.012112271	0.009540757	0.031942842	0.002779975	0.35387292	0.001550345	0.023030148	0	T>G_at_GTT
9.96E-05	0.000234959	0.000543122	0.003684261	0.00040231	0.001071655	0.01753761	0.000475281	0.021803137	0.004210458	0.000158376	0.003614268	0.000149772	0.005711169	0.000948314	0.000973935	0.018781183	0.399154632	0.000227204	0.000540711	0.002582446	0.000857909	0.014020056	0.112057504	0.000535597	0.002565444	3.06E-05	0.000689881	0.000573166	0.006423868	0.003787751	0.004051343	0	0.00599583	0.006198049	0.024026415	0.006981968	0.007288216	0.000350894	0.040627421	0.016756684	0.005851639	0.00018064	0.001533144	0.003479809	0.002611898	0.001035727	0.004765906	0.002170728	0.003717126	0.030638655	0.023361969	0.001715197	0.018041339	0.002610251	0.003282614	0	T>G_at_CTT
0.001388957	0.00015147	0.000223186	0.001777547	0.000365478	0.000589157	0.002308617	0.000682487	0.011428585	0.016704966	0.000248342	0.001194198	0.000266764	0.011968794	0.000620214	0.007038712	0.045781836	0.046317748	0.001582702	0.000494353	0.002034952	0.001207645	0.007634739	0.094654226	0.002870132	0.000875157	0.000297374	0.000555033	0.017140462	0.00253442	0.002562931	0.046265395	0	0.001963838	0.000754071	0.043684701	0.005149593	0.002816891	0.001300854	0.060770289	0.029072982	0.003273644	8.66E-05	0.001720077	0.001573586	0.008357022	0.002717352	0.00274036	0.008445506	0.003727828	0.019151576	0.005081579	0.016163603	0.003438216	0.002150564	0.017598697	0	T>G_at_ATT
0.001437404	0.000249077	0.0021418	0.002184423	0.000409361	0.002043898	0.007759502	0.006518425	0.015734601	0.001421088	0.000223079	0.001541677	0.000135924	0.000104131	0.000201562	0.003548112	0.002429164	0.003404729	0.005581413	0.00122151	0.00147231	0.004838632	0.001849638	0.011343836	0.000736761	0.002513631	0.000983139	0.000342599	0.029346498	0.003219655	0.016365959	0.014221606	0	0.048747298	0.002530527	0.005028754	0.001941806	0.003824012	0.000260737	0.002539157	0.000197514	0.008285842	0.000371616	0.0018645	0.002202003	0.013929572	5.24E-05	0.00136992	0.004262591	0.006072035	0.004868612	0.003341279	0.005106077	0.004085366	0.006542995	0.008439987	0	T>G_at_TTG
0.001378264	0.000272191	0.001824346	0.000558471	0.000477783	0.002828641	6.88E-05	0.008528634	0.004703004	0.000125818	6.99E-05	0.000605954	0.000128251	0.000832271	0.000414731	0.001209576	0.00056807	0.00296676	0.000824517	0.00169586	0.000282755	0.001310298	0.001845316	0.005448759	0.001665494	0.0015427	0.021070105	0.000361923	0.009384154	0.003386691	0.014792342	0.000144402	0.95733974	0.271079163	0.000415041	0.001256102	0.000766604	0.001882071	0.002328003	0.000867981	0.001221738	0.011716096	0.000139985	0.001412108	0.000529502	0.000539302	0.000158319	0.001010717	0.002910945	0.000641375	0.00303479	0.006517308	0.009668322	0.033853884	0.000584987	0.001296059	0.007007093	T>G_at_GTG
0.000860979	0.000252075	0.002426861	0.003146775	0.000334615	0.002213774	0.003356429	0.003857356	0.015810564	0.000291136	0.000137412	0.001724697	8.36E-05	0.000858991	0.000305548	0.001483887	0.000150968	0.009204204	0.001252909	0.000907819	0.000601905	0.007041414	0.014197667	0.019310809	0.000206091	0.002120054	0.002029339	0.00036282	0.000911047	0.002776951	0.016148134	0.001854551	0.000958265	0.094900799	0.005031804	0.004136526	0.001059372	0.005384845	9.74E-05	0.006131235	0.000873301	0.015292411	0.001292919	0.0014002	0.000159409	0.000160191	0.000196171	0.001649665	0.004211229	0.002183598	0.006229959	0.015051493	0.001660153	0.0284042	0.009595474	0	0	T>G_at_CTG
0.002188952	0.000167233	0.001199714	0.000755514	0.000403536	0.001922863	0.000896555	0.009075792	0.00881841	0.00066755	0.000217496	0.002045137	0.000125413	0.000730868	0.000124527	0.004505763	0.001892236	0.001451797	0.002213448	0.002406906	0.001015431	0.003262909	0.001830645	0.005788152	0.001420365	0.001718209	0.001865837	0.000195459	0.014006369	0.005345025	0.013805803	0.017825198	0.007819423	0.179494369	0.000305758	0.002899293	0.000517633	0.000741558	0.001764608	0.004602742	0.000554968	0.008153777	0.000361522	0.000899088	0.004928396	0.002889278	0.001059169	0.000590891	0.00492987	0.001403373	0.001461759	0.001319881	0.006766611	0.000148891	0.001919072	0.006785097	0	T>G_at_ATG
0.000595478	0.000144389	0.000177983	0.001457897	0.000321003	0.001418435	0.017399252	0.000654245	0.009132187	0.0032645	0.00021035	0.003586035	5.17E-05	0.001384599	0.000326847	0.004456485	0.000955158	0.006027831	0.001093696	0.000835155	0.000492233	0.000548812	0.000800411	0.020978952	0.000381439	0.001375079	0.000536022	0.00022769	0.019724005	0.001426467	0.005955734	0.033384381	0	0.004788119	0.000373857	0.010098171	0.006725301	0.000162006	0.000141621	0.009471113	0.005426534	0.00604172	1.96E-05	0.000817357	0.005765459	0.013491138	0.001061821	0.000921488	0.008860207	0.003262059	0.024756126	0.002814325	0.007009271	0.000502265	0.000225732	0.00740794	0.001210102	T>G_at_TTC
0.000411534	0.000137772	0.000158013	0.000320576	0.000105045	0.000358914	0.001283744	0.000964826	0.00706494	0.000447461	5.23E-05	0.001294615	2.91E-05	0.002858327	0.000604426	0.00116995	0	0.005043656	0.000307378	0.000614436	0.000642122	0.000177775	0.001506471	0.007380601	0.000476643	0.005758848	0.001240262	0.000105015	0.007878926	0.000463478	0.003372687	0.001536574	0.007456013	0.002862008	2.78E-05	0.002312261	0.001372147	0.000194805	0.000177686	0.001783984	0.003415121	0.005238782	8.35E-05	0.000948066	0.000287968	0.001616807	0.001347986	0.00136922	0.007231201	0.000566811	0.004008277	0.010326639	0.002120917	0.021984434	0.000464114	0.004205705	0.000600742	T>G_at_GTC
