,Before,After
0,-24709.748510356705,-24761.08543311638
1,-40473.76226778597,-40723.00212368355
2,-10907.863884706287,-10961.996217497734
3,-66634.1241721838,-66775.05021515414
4,-17025.381684431322,-17145.62060341999
5,-57115.81013608902,-57293.287851891226
6,-21479.11461297214,-21574.690023240164
7,-64821.371396252696,-65491.39903615722
8,-45113.01344313104,-45417.563406374735
9,-58828.81265856141,-59120.46596889373
10,-53836.33924561813,-53970.225502994814
11,-53554.11349633782,-53914.3661198123
12,-6471.822190937427,-6499.281955076432
13,-33798.88998709156,-33949.28427020437
14,-39044.49710051455,-39321.705830960505
15,-18493.89274161541,-18611.999943998544
16,-3597.0862863291136,-3638.586302508641
17,-10014.67301816974,-10074.3548382864
18,-80797.45579492104,-81233.12669278252
19,-10089.288745184189,-10129.10974368808
20,-73246.27805826173,-73562.97837783638
21,-33175.156233815556,-33346.034532540085
22,-3655.0096435645296,-3699.732494059689
23,-42815.749747791866,-43095.522762128894
24,-11466.124765524328,-11527.809259365707
25,-19763.66743932127,-19898.359298574585
26,-30141.2306003053,-30155.37965298894
27,-3179.2916132379573,-3202.6647376557476
28,-11128.275446857719,-11231.119184483374
29,-1496742.306972098,-1504423.9696802483
30,-37781.933187943854,-37974.979600543025
31,-7243.569720150551,-7293.856689753538
32,-11742.67994335219,-11799.95727336431
33,-11085.813895517049,-11216.730824391952
34,-11385.173503897613,-11395.001879599038
