,Before,After
0,-142887.96982577463,-143595.6811636223
1,-62800.65459607634,-62887.88692692765
2,-356707.5576484095,-357337.7912485491
3,-70221.35384139912,-70833.23761574143
4,-53247.88245568466,-54223.98688942175
5,-86379.66328855939,-86794.26616318562
6,-109536.51770188063,-109896.14654405255
7,-59730.82280121405,-59859.1418584346
8,-188321.20689050766,-188650.50867522712
9,-38455.09103168818,-38529.25640173396
10,-47424.33937769171,-47644.0812308066
11,-54342.69044052443,-54457.07003482167
12,-42116.229069270616,-42264.96254212769
13,-51481.1287885915,-51684.09023954622
14,-189769.4398064472,-190651.7252344615
15,-49364.88351721581,-49555.563774414884
16,-74345.57304517129,-74668.07168960961
17,-253689.1860169847,-254372.67641155428
18,-202356.39486089104,-203827.69935334095
19,-329859.1105616998,-330403.9821763722
20,-219694.84458239915,-220318.74755786886
21,-10836.53876813833,-10900.046584664682
22,-89274.54376021016,-89353.95487758738
