,Before,After
0,-7209.955981178929,-7346.527799985538
1,-6424.377456575183,-6488.244146906689
2,-34446.03389397211,-34625.21161261494
3,-405.7560017220188,-417.3902847090565
4,-2595.5372070641415,-2621.7282303120014
5,-6307.514536630999,-6410.780600985385
6,-5927.706566585933,-5995.081222200188
7,-19896.747861745043,-20216.723734730796
8,-3948.46897825554,-4004.5430310671472
9,-4654.1524749375,-4720.076604925538
10,-7909.563130158147,-7916.155654083426
11,-21074.992792824123,-21222.15064835963
12,-7822.3702087168185,-7918.842015606343
13,-14419.409728093115,-14490.40377291688
14,-11590.848003444751,-11761.966833231541
15,-2119.3699493841486,-2146.5847875934796
16,-4039.360982406499,-4105.705086600096
17,-16021.540657925845,-16296.084741576537
18,-36750.882524005334,-36845.667804645636
19,-14458.070769942016,-14635.588498530658
20,-6563.301544711327,-6658.550148484233
21,-28946.071089857196,-28972.33887999992
22,-19139.217138583834,-19476.752504213855
23,-4442.550888920851,-4526.113662841899
24,-59016.35072235881,-59831.38429355409
25,-21351.80537953228,-21615.39082831726
26,-8531.4591854682,-8612.204666327843
27,-15647.82560552703,-15779.563850803457
28,-16034.307068100186,-16243.406640321335
29,-2266.6363414298603,-2296.247255073544
30,-3324.4065821376926,-3402.2340917199303
31,-16382.329911779345,-16496.877586030216
32,-24811.1697811734,-25043.495678454557
33,-10470.45912402826,-10673.251152127123
34,-34200.7570013772,-34823.76648193488
35,-10683.773137730564,-10813.571416321533
36,-23108.051953306396,-23317.75558068727
37,-6784.972535980429,-6900.91488238966
