,Before,After
0,-34503.93814099024,-34534.99021952678
1,-35872.7150575578,-36016.426956210205
2,-43530.71252954758,-43770.268129420176
3,-18884.631799490606,-19008.955652028933
4,-5006.161954607633,-5076.197091408486
5,-64382.63111463024,-64755.341209959624
6,-15647.059098938196,-15720.024375879657
7,-19700.748950228794,-19905.674644534076
8,-13222.12804754984,-13257.492231619935
9,-18194.809436055293,-18290.166821817133
10,-17173.88304445474,-17209.131326364626
11,-14428.734950625205,-14522.632379134382
12,-23230.668298301913,-23285.206294276315
13,-11920.833434179256,-11975.483160714626
14,-38375.14014833786,-38529.50086480957
15,-23420.402759784127,-23494.768714804293
16,-8080.017206704173,-8104.011007936548
17,-7555.9181876843795,-7591.750988721695
18,-7963.3983244504525,-8022.732646170241
19,-9624.354857404735,-9676.893611321188
20,-39014.60697289512,-39120.249471788346
21,-38865.75035571022,-39146.30238468483
22,-26035.0681054578,-26161.70974086738
23,-35917.94250912566,-36066.40897826
24,-51650.715436501734,-51883.55131771905
25,-21899.69033642807,-22021.255776709677
26,-22489.671116135465,-22551.513213576123
27,-30772.279376026796,-30833.665017308438
28,-45930.42021038187,-46093.91318177164
29,-14684.673992709933,-14748.387888581638
30,-33493.856240525696,-33680.125940593745
31,-29383.2351513313,-29506.929602275442
32,-33324.036897977036,-33451.01799073789
33,-16964.723206485363,-17066.353266508675
34,-8285.53730259547,-8320.723906314404
35,-7414.016835743699,-7493.239677672702
36,-8935.84426654812,-8977.153906560014
37,-3785.8069728397504,-3816.490438255851
38,-7052.495101377725,-7097.877420097224
39,-258582.7361888453,-258734.59461339025
40,-5798.268133484616,-5870.301533000962
41,-9059.064383991978,-9099.870229039521
42,-20531.927298537823,-20644.24181070664
43,-11544.94723910659,-11569.989759480613
44,-11454.98314683976,-11492.107936921515
45,-4978.957481491992,-4995.640264678724
46,-5579.876669262812,-5618.395498328312
47,-6150.969090744142,-6175.965279720302
48,-3444.4970521733294,-3466.2623549395817
49,-3336.73804470462,-3351.939093380954
50,-8548.273317475423,-8605.240741320325
51,-7222.032757898332,-7252.2323729629725
52,-7066.680691761313,-7142.52064545972
53,-43148.227425131365,-43202.14158178558
54,-3501.5788377406407,-3536.9670829752067
55,-6225.28836714785,-6285.956382859756
56,-14350.876983482109,-14449.88931528967
57,-9575.767886566035,-9641.008301851409
58,-13684.368578234562,-13843.782778333156
59,-421688.98521112214,-421790.0793207019
60,-4403.255392528568,-4422.149660951506
61,-71972.77147966893,-72046.69683358245
62,-4297.431119102291,-4328.4232242375765
63,-13913.708706494064,-14004.580604400217
64,-27197.235798260237,-27282.9076220726
65,-4138.306946837856,-4160.712144827926
