,Before,After
0,-8033.647174651761,-8119.951989207657
1,-6789.428193878517,-6861.411770900756
2,-39592.56973078116,-39762.23420313624
3,-3249.569041005718,-3279.8908494885854
4,-4448.6945561282055,-4469.1325940970055
5,-5193.5143695958495,-5215.8159760698245
6,-320065.3783499907,-320452.7866334367
7,-4299.900164232545,-4356.880107209388
8,-10226.1712061024,-10302.640129076042
9,-8247.000746576261,-8293.99099464454
10,-19528.510697074387,-19659.322346901852
11,-7371.798068953946,-7411.956961707565
12,-94864.03041308942,-95048.08808205911
