,Before,After
0,-17633.712658812077,-17799.403806784314
1,-27555.789123404393,-27794.01410917848
2,-24558.31902018188,-24752.121529540404
3,-9580.946613986716,-9662.723740865576
4,-50142.52210350351,-50508.01168680553
5,-30192.70678551454,-30326.542741116653
6,-34955.569141392836,-35192.05350409079
7,-45092.40211369237,-45625.41474378976
8,-28438.214126295778,-28600.995197159893
9,-26127.862816434594,-26328.99604672767
10,-20122.918823625987,-20287.821464686716
11,-29915.07523318253,-30152.014119304196
12,-30676.67491266021,-31009.29715203683
13,-46542.63978119631,-47079.15991723717
14,-4339.658426871278,-4373.289850022027
15,-26909.89801198889,-27155.15508798357
16,-32121.886654541362,-32333.409187859983
17,-2124664.734113388,-2134367.036545896
18,-44695.84906385251,-45197.888906094915
19,-24862.014955823917,-25138.43796316072
20,-21496.698163448757,-21708.660532664093
21,-15979.043665062565,-16028.384928405214
22,-21021.074628486887,-21219.52942839153
23,-10994.66403958727,-11115.949840772206
24,-18407.801761784274,-18510.189663123463
25,-14561.18725094974,-14689.63999717065
26,-26470.618351459605,-26653.77215598124
27,-18909.82365736855,-19071.4446714576
28,-35041.75487117127,-35377.84850889781
29,-33213.38536632054,-33386.36602644503
30,-21996.076761250424,-22152.98018660052
31,-34647.34617916426,-34913.19607734066
32,-49671.21327894183,-50109.04518552792
33,-23354.06318132066,-23529.393682874605
34,-31046.499445187845,-31408.501117548036
35,-28409.166936169015,-28677.833443475167
36,-41855.098635687355,-42184.45936761218
37,-9377.146818712534,-9452.711483247052
38,-30425.800002522494,-30622.29467805401
39,-15782.513118636416,-15875.295186813486
40,-14175.111277556456,-14322.552152162234
