,Before,After
0,-6483.029455861324,-6563.344525536453
1,-9160.975042980268,-9303.146083040974
2,-2785.2082865295883,-2805.346864392162
3,-8133.729421961711,-8246.537570505283
4,-3854.7872473385346,-3919.1605741418625
5,-11795.396332668928,-11939.001166765367
6,-8303.784925227574,-8414.246029284403
7,-6004.137437189528,-6112.258405903279
8,-2550.191717756879,-2578.8629969156414
9,-6603.507720939812,-6751.6755453188325
10,-7760.743304486495,-7853.850144781483
11,-7185.504193641027,-7317.663152931349
12,-12312.70749553399,-12409.59960273285
13,-10016.657932409555,-10174.935151454987
14,-12088.20647243441,-12254.672568175873
15,-5226.056004552496,-5291.260176004126
16,-17206.252641221217,-17564.952426592583
17,-5274.113028007972,-5346.607737724978
18,-19291.88855058688,-19579.67635887449
19,-5395.960045069079,-5472.791481903131
20,-10611.351962278544,-10780.220054236832
21,-10609.546234835156,-10715.144890684189
22,-14336.503144082977,-14558.121394781294
23,-7403.5028794532545,-7531.674138756338
24,-8826.473910940489,-8944.828274047784
25,-2132.7739990845885,-2164.567905833276
26,-7209.985983999841,-7305.287348625932
27,-3789.2147431693616,-3854.8479492963716
28,-4519.78147118601,-4567.2090044234765
29,-1864.3046121302118,-1883.4350061064583
30,-3799.189402042606,-3843.575096292801
31,-150.32304056008468,-152.99976690741104
32,-984.1507618740162,-1011.901952459404
33,-1478.5832622679702,-1491.2099244931994
34,-1870.6811096602012,-1887.6137678911498
35,-3327.4386731789427,-3373.860570981957
36,-2052.0118108105376,-2092.62222236958
37,-1091.0516700263454,-1119.3862679677725
38,-1826.3145199918663,-1833.6907756874336
39,-2837.806031710908,-2877.90432958392
40,-1965.2708311495683,-1994.4913475521287
41,-5828.306131354258,-5938.312622927201
42,-1430.7592731136945,-1445.163469222667
43,-3790.556833278253,-3841.6660919560136
44,-840.3779826046294,-852.7289572691388
45,-3039.950210746029,-3058.857488622721
46,-5566.608276263204,-5650.571608457062
47,-5081.892653933614,-5165.382506369658
48,-3008.655654368464,-3056.3791143309872
49,-2484.023504234054,-2525.465132599102
50,-1516.4868492633923,-1549.9015439965972
51,-263.4916412380861,-276.63456938815887
52,-1725.201815204787,-1738.8640719879497
53,-1792.522799545096,-1832.5112832201269
54,-3065.319068520517,-3133.6669426152707
55,-4431.518917832242,-4498.88559657242
56,-2598.84325240683,-2628.1455369656715
57,-2228.469102585605,-2251.050684966739
58,-1245.3052165134334,-1264.8284203667577
59,-901.683528081003,-918.4228290674863
60,-1075.899817013065,-1089.160861625728
61,-2333.6193847035142,-2357.084094842848
62,-442.60595555362113,-455.9582632407548
63,-2207.7541050065824,-2238.257813950023
64,-856.1930762227565,-871.6301276222482
65,-515.4657776826291,-522.5052028269388
66,-806.3201027135852,-817.4405200517632
67,-140.96972805052755,-142.7309005384312
68,-5157.007032108354,-5211.439924750722
69,-2103.3194998090594,-2159.956956352795
70,-4178.250527172235,-4222.28067436211
71,-680.9585183940276,-695.0157692823947
72,-1250.1986024570344,-1273.8389637198886
73,-775.4935699734408,-792.4869434018544
74,-2581.264460644258,-2618.973941089077
75,-3177.2269961286074,-3186.5056218330897
76,-4102.069415153201,-4150.370261538558
77,-2069.4123486735657,-2103.2842136812415
78,-1714.319315111387,-1758.2922205737868
79,-2126.9493704867687,-2155.5904087023373
80,-396.07388739315,-406.55510285690656
81,-2990.633381363948,-3028.3531633193693
82,-828.8797894680456,-840.6468392804824
83,-2262.484180122199,-2294.306301594797
84,-4132.256824605332,-4175.7809303700915
85,-1913.6585762285358,-1954.1766354061267
86,-2766.1952023943923,-2789.471856739415
87,-633.9643910760872,-639.5262443484602
88,-6484.713604038313,-6486.794427036982
89,-669.1017549394661,-684.4336568571711
90,-2943.491466491808,-2995.6691310837823
91,44.41210781678096,43.24122098478885
92,-5413.505280479633,-5489.769986068279
93,-1207.9079063371748,-1227.870136179801
94,-14198.269796043738,-14222.785995954653
95,-521.0626945430965,-529.4512681093388
96,-3886.7468006579893,-3911.457194007562
97,3.9473478038341354,2.6901271319121425
98,-1909.3432425461374,-1961.1159730471975
99,-399.5639357445296,-408.9771386148091
100,-115.68383577003694,-121.18792386665835
101,-5420.616452249674,-5431.730610455454
102,-2482.625620372772,-2485.1979073790058
103,-1352.320402350056,-1393.4451321397848
104,-3596.669698792867,-3644.044148768282
105,-1213.4958170723712,-1233.091541567727
106,-5913.811149643518,-5964.584880541893
107,-2260.7608708657085,-2294.5395143518585
108,-2213.061957163933,-2235.332366516103
109,-3484.5835284081368,-3514.60998976511
110,-3905.8835222047956,-3965.878284321946
111,-317.8693669344381,-325.59187807202636
112,-908.2668739849614,-921.6334131084358
113,-423.35143191905155,-437.6974263906154
114,-1225.8267748458975,-1244.9384079519623
115,-439.29800897357063,-439.9020197333303
116,-2312.699273786021,-2358.5546254390392
117,-5501.696750953278,-5605.695620828937
118,-7441.448538608246,-7489.302778872596
119,-534.9247437035825,-538.6890983872984
120,-599.3837422624857,-604.792268696757
121,-2097.970929442682,-2137.036290056359
122,-13117.228206031734,-13148.193525880757
123,-1097.302685219295,-1122.0360370366288
124,-550.5392721943188,-560.2884613383176
125,-788.2745230520334,-798.5513210888622
126,-1795.9476338715788,-1810.174106748889
127,-3115.84686117901,-3164.9342659675212
128,-1414.2621637919428,-1447.3418211146695
129,-3492.399971414642,-3529.982493784771
130,-940.4973944410389,-972.1122899326348
131,-290.86446144077235,-295.4740336794771
132,-573.9337442213741,-585.3047597526657
133,-1321.136795308786,-1358.5181797597804
134,-12470.360524040525,-12598.436464303197
135,-732.5078682210358,-742.3334487776787
136,-1224.8534317665953,-1255.631096085045
137,-1580.46203772305,-1608.3958076984288
138,-2121.694082058534,-2165.2059657314285
139,-208.03768746830167,-221.71690673493976
140,-1581.2354153713893,-1600.9679883595454
141,-1527.744469956208,-1532.2711323609526
142,-3712.2433201791937,-3749.2387119735045
143,-3242.3287356982837,-3271.842756723136
144,-503.67462482473763,-522.0866372288779
145,-961.670324904766,-972.1159233984437
