,Before,After
0,-2223.842099449702,-2279.7161942816397
1,-4788.150467259777,-4867.887175504988
2,-7142.701243916457,-7247.896069682297
3,-7691.567081389162,-7811.852853444764
4,-9481.009161416996,-9569.69201918692
5,-8508.606427808129,-8634.633571182592
6,-5455.0477925039495,-5533.53428105764
7,-6067.581842627944,-6152.414171381051
8,-19920.078176065825,-20039.409508562323
9,-7797.069438487613,-7898.252237657578
10,-3685.675380116894,-3754.93057802426
11,-6269.579943080442,-6350.747264335843
12,-540.6926682477455,-551.8252173830869
13,-13539.781893308307,-13744.897110257638
14,-5738.61912961727,-5825.698987849919
15,-8279.36640712108,-8432.526163352179
16,-21151.878380542374,-21310.020415183986
17,-3967.6790488466363,-4069.0289000227467
