,Before,After
0,-12633.880778225639,-12700.66429429495
1,-35165.96007102359,-35314.79378644291
2,-29904.19472553868,-30114.381463078906
3,-25364.424643842936,-25633.595094033357
4,-10790.604654017487,-10889.950937750318
5,-73105.93210339196,-73445.4496817208
6,-11881.59750630566,-11909.644927655096
7,-5920.891529902104,-5941.111424269088
8,-37956.50875483414,-38090.524592373666
9,-27108.392540288667,-27251.652871977243
10,-40002.97455909801,-40318.430458136325
11,-15809.03130292246,-15963.651318164222
12,-19033.79076130598,-19159.67684587154
13,-32521.842179734675,-32638.61704133733
14,-14419.916394129983,-14509.277243612822
15,-47702.32332777005,-48204.414873294976
16,-33344.18229501757,-33597.89999846617
17,-10496.136597591647,-10567.57893032675
