,Before,After
0,-760215.4436508782,-761003.6987718195
1,-46389.437715869324,-46433.76386578386
2,-90067.43292497103,-90124.07703701055
3,-8323570.234001612,-8344720.504854023
4,-78118.45828859242,-78156.25266496584
5,-81551.06864972126,-81658.44767658095
6,-58508.300532977744,-58605.08283850383
7,-852574.8140140395,-854069.9615795641
8,-136174.36006071814,-136310.2564180264
9,-39825.94278863377,-39909.16328970551
10,-43084.75963103056,-43150.83265902958
11,-25403102.22769862,-25506852.203460515
12,-1119998.8870838056,-1126968.372397339
13,-752733.7090116426,-752886.3116162486
14,-89340.24111489378,-89449.57370748685
15,-9278105.669711359,-9359652.073283382
16,-612396.5445260331,-614615.6320070206
17,-2239855.918049539,-2248983.4099065443
18,-46384.303943390354,-46425.50375033518
19,-154360.35563234397,-154385.5713037984
20,-51370.50134122254,-51406.82786072724
21,-26460.791875855546,-26492.566724194035
22,-102692.57969620802,-102827.93125796008
23,-85063.00431328485,-85188.38605064634
24,-569188.9831003639,-569690.7407233998
25,-82429.77446103242,-82471.75151248768
26,-65013.054925255325,-65080.920837024954
27,-7370491.822309135,-7447884.608598848
28,-54135.553833304744,-54156.03734793033
29,-2009754.9445847105,-2014317.4639102062
30,-617569.5413300985,-619926.063071557
31,-55499.03720717574,-55538.2766742335
32,-56491.31223028635,-56536.51208397787
33,-66156.6346557963,-66256.75031776639
34,-74533.83194628057,-74550.78522342638
35,-58926.08456004221,-58966.10674470793
36,-25744308.925488003,-25872852.75055152
37,-37427.76182416818,-37433.4563595324
38,-47267.13960785292,-47365.84904394124
39,-29860.6993159739,-29926.39776553176
40,-93892.92514649856,-93893.39984330731
41,-85529.80775315966,-85544.30764872149
42,-7769046.243375631,-7817241.514408901
43,-29905.115800979802,-29940.3319120555
44,-133015.77643673768,-133054.6105717257
45,-96123.64214968334,-96312.06471250778
46,-49026.45516208769,-49153.50008448714
47,-67282.49054459727,-67353.56851727127
48,-39196.05447479851,-39297.39998155346
49,-53739.88204771426,-53743.703443278304
50,-26263.494225077815,-26268.303748738555
51,-82065.67499320497,-82138.1277231454
52,-57519.01689343758,-57547.1594809755
53,-130761.00035337811,-130829.75496304163
54,-117382.11337126943,-117439.07648805768
55,-94404.34692736084,-94493.40919916866
56,-39349.476642857655,-39383.08771992719
57,-89656.83887244631,-89767.80110364253
58,-48421.80501998272,-48463.07082068497
59,-508286.6213291028,-508742.944845427
