,Before,After
0,-132332.53122509227,-133323.4326948294
1,-244444.01813811262,-247137.8138766455
2,-39011.2413791727,-39128.12988438289
3,-81168.46126541657,-81873.32962901279
4,-100695.46330166525,-101143.73501755031
5,-88928.59064053734,-89276.32895358319
6,-173711.04897847466,-174252.5656198
7,-197955.8960345071,-199344.39173230858
8,-58292.351911338745,-58494.893326807185
9,-219637.09691768908,-220529.26430916085
10,-237181.7052515985,-238381.23760518312
11,-65311.45139377957,-65775.61906200286
12,-160997.93346862512,-162318.4493575261
13,-322207.67947260087,-322981.7827859335
14,-135542.4673776964,-136721.17880870806
15,-160808.14873454676,-161515.3330611776
16,-376719.5184366133,-378384.96549461526
17,-44387.21281127135,-44645.252834863495
18,-82494.755158039,-82899.51988368225
19,-155460.8055564456,-156126.60159339767
20,-63945.32897309637,-64279.25986977244
21,-131252.08653339566,-131859.21141990653
22,-280478.44618176407,-282528.4533140357
23,-43420.836403360525,-43600.00065879591
24,-62612.298176062526,-62901.55844868555
25,-104497.38048404237,-104857.92134892609
26,-132871.00066080436,-133306.10003835606
27,-260848.32657054515,-261979.50489819032
28,66.64492789738964,66.59990846984917
29,-163639.24628122945,-164420.11565164747
30,-304473.4711359722,-305707.9263480042
31,-24520.13180209714,-24568.54414847518
32,-22518.995469904334,-22591.413015366878
33,-122648.53994190271,-122913.42143541008
34,-184267.27059090626,-184890.56357903683
35,-84645.97616371071,-85076.75528649107
36,-110841.00605173505,-112399.75814096694
37,-58572.425356751926,-58789.91730798782
38,-153526.71663778467,-154186.01408866615
39,-26368.326477092436,-26426.358292184334
40,-47069.51823382007,-47253.19523483691
41,-9462.04697692192,-9531.26793478024
42,-279579.2591318841,-282056.39706742216
43,-46138.6890639628,-46730.667325977985
44,-180502.6952613799,-180782.00263975133
45,-124940.67221538689,-125445.57366107905
46,-31795.285077968245,-31954.630309199623
47,-22240.201264062416,-22528.516343901767
48,-232278.7001135667,-233088.59885652832
49,-199831.82552988714,-201038.00841995407
50,-46719.681871487686,-46893.92663593546
51,-443522.67144253757,-445345.85313548206
52,-89066.91844991283,-89278.6334977658
53,-97977.76651011597,-98319.56148119648
54,-64849.13762125746,-65059.94369791947
55,-90365.69749953228,-90589.94623771305
56,-543162.7658388464,-548174.0363615372
57,-30789.340937581746,-30838.977736731536
58,-104776.00570756508,-105364.00479007358
59,-66866.5473658,-67086.95597277673
60,-39795.6548706207,-40083.625056982215
61,-175660.21693644338,-176159.3388873702
62,-87425.78222659748,-87852.26745877559
63,-44363.59591821428,-44626.092477499355
64,-215113.8174621684,-215901.60270235827
65,-59492.466723607155,-59762.45703910432
66,-61794.45052792397,-62177.68619611894
67,-148180.62783444993,-149183.3031723998
68,-105668.95761409897,-106413.74222290529
69,-233506.492770396,-235497.7259575981
70,-96388.50668069307,-96750.32678751764
71,-43937.959545534,-44038.0118824275
72,-340150.5646122734,-341880.1075164963
73,-123651.12014389006,-123923.04199564089
74,-134127.25798698067,-134599.0962226216
75,-142180.19141862102,-142890.50329373468
76,-77927.66404107712,-78230.18024657591
77,-63120.738955611676,-63412.03373981709
78,-85725.04094247031,-86232.34842905523
79,-78292.12251771578,-78826.30304705472
80,-81085.8109932844,-81460.18618730186
81,-545127.8926506132,-547758.6706454952
82,-356669.14815204695,-358572.33938508114
83,-106678.509246826,-107102.65767870774
84,-187571.75250220028,-188276.18184160625
85,-193768.10271305646,-194867.2613449916
86,-228085.9147086519,-228993.18902822124
87,-263193.50301239284,-264777.55915430794
88,-35816.810109879276,-35976.008733261726
89,-170163.59623551293,-171022.02613389236
90,-746543.5227151299,-749515.6796391484
91,-888002.2986911841,-893912.7820033483
92,-119719.37473896056,-120349.51059947611
93,-123366.60438653582,-123816.05612286543
94,-97015.5683096092,-97396.54679040409
95,-494687.3390305978,-496653.64049226145
96,-50546.01673655453,-50644.63214174943
97,-22412.008379247585,-22508.36678457081
