,Before,After
0,-14194.21925294052,-14230.590856659517
1,-57601.41662146773,-57839.1016575689
2,-35846.078010563986,-35960.951665587236
3,-8054.070287751209,-8067.799690495675
4,-1280.8456624720884,-1303.4460993389453
5,-24967.781906438955,-25034.780263360728
6,-42110.49030967511,-42239.028344895414
7,-16106.036217752047,-16161.306204734561
8,-138576.10731231674,-139129.57318598483
9,-72535.41195952064,-72862.96077335994
10,-11688.41976963369,-11763.986802335334
11,-23308.730797837114,-23374.422893527884
12,-63414.919663711036,-63873.74161554966
13,-20423.06805194382,-20529.97804715555
14,-130539.28100493255,-131253.91751880432
15,-36727.749536189585,-36905.14816590397
16,-74922.35760579682,-75421.20212818944
17,-18895.991050610755,-19109.92259316099
18,-79678.91064202535,-80583.7320123813
19,-120486.30631536648,-121131.47107327763
20,-21583.82474557692,-21688.426787804972
21,-18155.69678848348,-18255.440136342982
22,-534333.9043041721,-534921.6723528098
23,-23056.00937774838,-23218.71372471398
24,-19386.021309249307,-19459.569396614766
25,-31999.323154623246,-32141.867673381777
26,-292507.50296782126,-292995.7657781968
27,-76172.5944330632,-76403.25433131137
28,-366072.490412447,-366328.61493469874
29,-344309.36149513756,-345120.72092670825
30,-9568.37341329532,-9587.480508566401
31,-53471.085265108464,-53595.60060424829
32,-158476.46592482296,-158981.60280664286
33,-8961.691052995526,-8996.480338292373
34,-37035.962935266565,-37270.42120239495
35,-34311.2056029043,-34548.2765921029
36,-53556.5554210751,-53948.77796293622
37,-56102.694312534724,-56269.13868871118
38,-76053.704920291,-76311.81835821572
39,-9265.746220718247,-9317.234776872345
40,-27095.87294993076,-27175.675052629667
41,-28183.58177090402,-28264.561350149546
42,-168691.2221953497,-169189.8958613802
43,-15057.028192953247,-15146.90621806687
44,-751.4464411662123,-755.7939354880984
45,-78672.90688382776,-78833.76529488612
46,-110237.21284591277,-111618.65089261322
47,-118472.20801668326,-119082.5147762332
48,-8304.211658711658,-8343.139556816035
49,-64705.60763689927,-64823.098114070795
50,-56276.07799579927,-56422.96663203932
51,-328458.2464958479,-329494.14039192605
52,-154775.21962081923,-155972.4538082214
53,-291278.6974327621,-291718.4063100637
54,-17717.490193813665,-17792.78822875353
55,-13170.479644844825,-13196.17510395159
56,-10479.390143564717,-10573.71039468779
