,Before,After
0,-6192.248225113527,-6205.482685697261
1,-4263.031689829853,-4267.131525261349
2,-4065.4553435406133,-4070.276047591798
3,-3526.619565148416,-3538.4863271043796
4,-4783.264278155085,-4794.356841862985
5,-5162.956706915037,-5172.847780481442
6,-5094.103405937455,-5113.23821774648
7,-3415.152731732032,-3420.491547586393
8,-1936.3793714091482,-1941.3499364549627
9,-1512.1877819345698,-1517.441370404304
10,-1672.272206989287,-1675.227893303151
11,-9830.36451135917,-9855.398924661175
12,-3310.0434330979865,-3320.490606907386
13,-3995.058432266823,-4003.803550595913
14,-2336.488091981563,-2338.1021177510784
15,-5818.085966029577,-5824.6434247394645
16,-5956.450954758849,-5971.7790060565085
17,-810.2194616027838,-810.8930446793739
18,-1737.9141646808607,-1742.2664001571793
19,-2493.521169412906,-2493.9367507953193
20,-4393.435200921378,-4395.3421581369985
21,-7695.834320473261,-7707.036809330695
22,-4767.927229592832,-4812.116182324351
23,-3180.5316632505005,-3187.693492751386
24,-3641.066531678229,-3644.413813689056
25,-3828.6786123084084,-3841.8207269973923
26,-4552.272387245631,-4576.828106095113
27,-2702.9050038644828,-2704.782238569607
28,-1827.967436326076,-1831.0912506112156
29,-5140.582981437751,-5160.217733771846
30,-1583.0511205946382,-1583.4907327642545
31,-7078.43115337471,-7105.002555688226
32,-41444.11963703646,-41464.81394273462
33,-248555.94669056268,-254090.39596824534
34,-1772.2909428548219,-1779.3210117158878
35,-2275.0877768196024,-2287.7454181991097
36,-10503.328341310593,-10513.994277905453
37,-4714.719875028695,-4737.644917603599
38,-5023.246258130336,-5048.135363368637
39,-1440.5756549669006,-1448.8933962884037
40,-1748.8131449008865,-1750.2917171406878
41,-2135.3258025566793,-2155.1905882574347
42,-3678.571075457116,-3691.0837741690225
43,-3495.8172529289436,-3504.76337223166
44,-3911.6121416629094,-3932.7231600309765
