,Before,After
0,-9624.402833506036,-9666.596684688595
1,-25556.523760475746,-25697.31252997053
2,-13398.649952124142,-13552.872523867996
3,-20337.486006970306,-20483.058677191697
4,-1921.6345424048716,-1929.806974361395
5,-41010.380355344416,-41208.84062560365
6,-27027.158304182507,-27131.16595095207
7,-35422.24697180184,-35599.7660158977
8,-34831.67643041888,-34990.3817294473
9,-25426.502301490327,-25530.92771773815
10,-16171.855392638006,-16329.382450437417
11,-27009.42052192756,-27066.1252209613
12,-14139.48787157785,-14231.037406588488
13,-15957.98315943225,-16346.640705878246
14,-17585.20972434902,-17662.390537886167
15,-139784.65575140488,-141711.40737480286
16,-29539.393999043008,-29638.65634477474
17,-11232.242635963781,-11339.92683434242
18,-15072.179586726994,-15197.21404633813
19,-13447.439170113905,-13534.143775467877
20,-214848.53524534195,-214848.53524534195
21,-15378.182944480914,-15455.48634192998
22,-93784.2828050189,-93801.43961546318
23,-25014.582238529245,-25155.12522606216
24,-15731.44371437924,-15799.717824999818
25,-19429.058650349063,-19564.037718168216
26,-5974.610155277654,-6004.238308851696
27,-16999.87103212127,-17065.105005937945
28,-52691.6887376549,-52697.900562990384
29,-25394.60326574705,-25526.201208982933
30,-42196.640159794835,-42539.68089016454
31,-12931.033244049398,-13010.982137760155
32,-19182.570987500716,-19252.55056972781
33,-23698.771453395915,-23783.57405978427
34,-20576.88490792024,-20711.585606949382
35,-25791.705994301094,-25951.464079105885
36,-9717.146053310646,-9787.364471040084
37,-25924.916863164348,-26062.98324997426
38,-21148.525547855625,-21266.463128333125
39,-27486.96109715655,-27670.05845719852
40,-33273.73090747104,-33476.511419007555
41,-8786.00779592674,-8892.5002722019
42,-23028.876106392276,-23195.116962689266
43,-12684.298880107612,-12733.20179105109
44,-10237.539386396975,-10372.917045901499
45,-19969.190789135762,-20029.38567858976
46,-17101.91825137434,-17199.81484972447
47,-22654.2684040257,-22770.983954518284
48,-13443.663428084155,-13559.836803646962
49,-13447.01049001998,-13594.477679568445
50,-32032.08725001524,-32235.081780835455
51,-5528.198573066872,-5599.0560159951165
52,-8324.037793587217,-8410.807047128927
53,-95620.61514252835,-95629.192069692
54,-25937.80469362996,-26091.94457044594
55,-10364.302559193831,-10447.595634826686
56,-150248.28053742278,-150259.0691312773
57,-22989.15457434153,-22993.17671252645
58,-4806.153649820922,-4872.657646050244
59,-33004.03667379185,-33236.33960015113
60,-14655.789262602038,-14736.12258000397
61,-24810.012794016176,-24965.280805132916
62,-6451.069079560928,-6500.691721496168
63,-29681.550657708616,-29685.968848830023
64,-18777.869763813072,-18899.766566294402
65,-14838.366680400404,-14950.204944416615
66,-36557.34237898314,-36793.37658926268
67,-19784.58658785574,-20001.442604631993
