,Before,After
0,-85674.23851009378,-85858.0221658174
1,-28600.674627158474,-28840.103516625193
2,-9858.989453335014,-9985.598219532976
3,-79176.08513422821,-79935.99502437405
4,-67418.96560657842,-68155.19174775378
5,-70778.07172201679,-71760.2652824351
6,-63722.25613191105,-64702.26643558043
7,-58372.16825904619,-59276.101073106904
8,-247269.41842018988,-248674.29763605268
9,-29649.094336381884,-29783.20727757963
10,-40071.59108738957,-40349.915909723626
11,-32937.877234240295,-33020.80491619637
12,-54993.36473775317,-55477.274602575555
13,-41892.169522064294,-42197.41246621976
14,-40301.14097519975,-40607.57373557599
15,-16453.80997929157,-16845.762562354575
16,-34254.942862352116,-34598.81569065113
17,-50362.23685206033,-50799.83828181845
18,-33297.317644956165,-33647.72758837991
19,-19880.562071231714,-20108.13865237124
20,-70843.61006633399,-71099.05748031255
21,-38107.768243404,-38482.31153403261
22,-30703.237605617975,-31076.018471339692
23,-95999.96746024575,-97131.84301725306
24,-43375.05475718919,-44002.255911939916
25,-19544.908075789317,-19876.05743443326
26,-32934.92756274417,-33299.87555486635
27,-85925.33422903533,-86324.18868150598
28,-9670.491403364713,-9999.996633257695
29,-162981.0523205882,-163107.43697402428
30,-17623.615518474806,-17787.292140821195
31,-65433.63888199373,-65516.909286587754
32,-55768.253559602075,-55963.10240087157
33,-15821.260897241049,-16031.23702899871
34,-35561.58240882263,-35761.649414875006
35,-26771.39979744274,-27154.560399178143
36,-36060.45160229615,-36243.452911109656
37,-103857.64201596826,-105258.51179396328
38,-47131.321301447846,-47853.049835650774
39,-15333.632420874375,-15495.658193081917
40,-57775.00919097767,-57806.58405142262
41,-1123.863497971045,-1125.43104815578
42,-58664.87785143171,-59326.228789780485
43,-98735.60672292208,-99820.63552078944
44,-44102.88309123321,-44570.889714199184
45,-27769.39627835608,-28157.116744868057
46,-58318.75946386968,-58812.293008777866
47,-15072.654713686803,-15237.694088135166
48,-51740.52956019459,-52167.75124704835
49,-33783.020376809116,-34085.916440488494
50,-56320.49616607392,-56613.792395838835
51,-33984.19644079759,-34423.85914118983
52,-57194.80609890993,-57523.48460542617
53,-17774.87425716661,-18029.010592424384
54,-80602.00834337765,-81286.56188429921
55,-63647.919229422296,-64299.92507301718
56,-35438.17891875558,-35621.681690795405
57,-66218.37338058275,-66821.73235136199
58,-22255.634718585203,-22646.506187467556
59,-98072.68240032396,-98930.26927423486
60,-41551.53215404968,-42114.963386466356
61,-27207.22274407434,-27589.84626525613
62,-35745.863264844396,-36372.307623387744
63,-43025.204890360124,-43470.09687481008
64,-29033.738305631497,-29282.24973014182
65,-83557.95120476141,-83979.40708259781
66,-79305.77860936268,-79714.06502535341
67,-18756.386764184266,-18882.85842427155
68,-74903.21708859611,-75407.83164137088
69,-48299.34032605934,-48770.239493148074
70,-39739.522536051285,-40170.331453304934
71,-48145.78562426162,-48513.35645513206
72,-106597.78569488986,-107278.82489916487
73,-105883.18169867269,-106170.63247559239
74,-77356.06061577184,-78190.98168605645
75,-63472.48460408372,-64209.380049990024
76,-49096.84234339096,-49947.88667220627
77,-42481.715008605366,-42692.56067906442
78,-24640.800200840462,-25076.51089049948
79,-49317.63904280142,-49835.37599075026
80,-54658.83431562204,-55565.17500585111
81,-62647.976298909125,-63472.19227725002
82,-69183.42538515112,-70438.8988822679
83,-71387.55330934237,-71823.16654030197
84,-64806.89640555969,-65413.160950247504
85,-79825.01158416283,-80208.77087151242
86,-83856.92728635861,-84992.28340546439
87,-31407.913030167503,-31754.279050687855
88,-43229.88907881543,-43457.54264670505
89,-48206.21683350353,-48710.62187972069
90,-88884.48472743524,-89239.73684028117
91,-24032.468395025957,-24399.769080588412
92,-41843.92031821223,-42289.15251371062
93,-18366.406794820552,-18431.32202814112
94,-50508.571695201164,-50596.55412365977
95,-68627.6630391605,-69722.61651772803
96,-5883.255340187146,-6042.724703597049
97,-22636.169482848647,-23038.53030629086
98,-25492.470085550452,-25572.476450448677
99,-85948.65919039745,-86352.34256171204
100,-74036.09669531048,-74493.71037713069
101,-100014.26467134111,-101212.09340783354
102,-28223.02566305353,-28639.39050278858
103,-24522.925824620408,-24981.782212286817
104,-35211.329471145364,-35596.36292416642
105,-36145.44844073767,-36525.2289701968
