,Before,After
0,-40809.76661615034,-40875.90668243584
1,-78038.74451860331,-78124.53598580512
2,-54432.558820706705,-54639.15126667561
3,-843.2444971139544,-853.5457490701029
4,-5109.086170548818,-5136.834455336143
5,-6152.298627330166,-6169.714969604987
6,-22103.605614472235,-22134.033860305273
7,-16945.788135840005,-16976.884833757624
8,-309377.7859547136,-309945.8889172691
9,-63890.20102790279,-63969.21991063449
10,-219591.79915972432,-219920.90708119492
11,-13734.697713571068,-13758.940205050803
12,-19127.644766788664,-19188.050411941207
13,-118250.18724034954,-118481.50423332094
14,-129168.69943646333,-129525.44663013185
15,-17446.444558127034,-17465.560681074403
16,-12698.309518701168,-12730.560109881917
17,-176460.3673846443,-176702.72810195203
18,-209052.09855427837,-209493.58031697856
19,-111644.16404348452,-111908.51491777287
20,-241247.51042199662,-241722.22804988208
21,-307825.9071083537,-308794.8592031778
22,-44584.87167034437,-44587.07762522906
23,-364942.3911554414,-365882.26878502476
24,-1329149.673806018,-1329998.827485919
25,-704973.7190516394,-706813.376268544
26,-240180.09296056448,-240624.13329798394
27,-280314.7413421444,-280314.82503150223
28,-774.566828978331,-778.1541043560873
29,-1067497.7453744533,-1069982.4401304598
30,-730098.7131103552,-731630.6445505869
31,-4432.006560815559,-4453.576077362189
32,-96725.79254671451,-97259.46441914415
33,-396868.67455506173,-397780.99905767915
34,-30165.862514205117,-30233.77405513465
35,-271678.5349655972,-271980.2496529603
36,-198692.97300594102,-198796.78280953018
37,-69579.65943090002,-69633.25261344055
