,Before,After
0,-25374.371007321344,-25838.312207446404
1,-91802.61850186157,-92759.14340388017
2,-26690.803207782832,-26726.668053162204
3,-75925.74343391403,-76758.74736021995
4,-39685.84677411788,-40020.39332463612
5,-41403.61589719797,-41601.66064317974
6,-28195.97938819857,-28556.09683982287
7,-44721.592107756864,-44899.85971910818
8,-161177.77804143116,-161512.7707854609
9,-8322.673535863009,-8493.224112033844
10,-20772.783866386082,-20864.04541342441
11,-9681.83578267854,-9798.391025602074
12,-47502.236530337825,-47721.13858928641
13,-27528.689843156793,-27914.74072833665
14,-12842.938966045247,-13030.377120503548
15,-73548.21848406977,-74393.83467151943
16,-52181.08218364664,-52881.840549463224
17,-141331.78589040923,-142127.12619237267
18,-112460.34315643883,-112700.46474496124
19,-3988.2151030760374,-3998.1586174497356
20,-18116.87818461435,-18491.601484650444
21,-103832.93765385354,-104767.95145600892
22,-51850.44645018609,-52445.786100093115
23,-75462.80849540039,-76295.15865902408
24,-6490.771841841691,-6571.140093793906
25,-423482.4981222803,-425280.6018226558
26,-79282.40139036138,-80071.77177357375
27,-10231.873913817042,-10428.276436082273
28,-20627.375223465533,-20885.758332127225
29,-150589.69249996817,-150890.245278156
30,-10312.018729912035,-10344.809427195798
31,-36806.262594187036,-36933.68520378659
32,-44040.793936872265,-44090.17638622388
33,-10777.138591435458,-10894.9946065926
34,-125452.99825981235,-125804.4433408555
35,-46537.2182164171,-47010.24656053058
36,-711050.9555964698,-718185.0940372192
37,-38648.28858354317,-39071.5389485766
38,-23915.519236883858,-24092.70352403938
39,-43773.38265521715,-44381.88142671623
40,-16968.039448997508,-17256.460966771105
41,-3532.719940822972,-3561.569274124657
42,-169500.23132331672,-170163.46993196895
43,-33036.598284343636,-33127.632263734355
44,-26319.437632903624,-26466.265448767004
45,-12248.915994890058,-12502.957136995004
46,-5213.922091857781,-5230.081018647491
47,-60127.39838727702,-60662.684343549976
48,-109056.40572195224,-109247.56370970375
49,-73627.62970852715,-73723.33409372886
50,-37862.56081720809,-38079.49367502755
51,-25904.97425832688,-25977.502366577195
52,-24878.734343506403,-24926.651588737554
53,-46879.156449080394,-47125.45507380163
54,-94865.79382896403,-95377.1412708522
55,-182135.66836062772,-182537.45451490371
56,-80208.88501796535,-80283.4121980172
57,-38216.024423935654,-38528.575672136394
58,-76582.28047992445,-76681.87601787422
59,-4728.765958736341,-4784.67633258322
60,-6722.840368021025,-6770.181614027601
61,-6532.180350629048,-6604.2129870677345
62,-17522.542169644323,-17599.60394988845
63,-11970.746329031748,-11995.881361987098
64,-70437.53868767149,-70441.04755711573
65,-12588.786488907603,-12828.528789419275
66,-5759.805546135595,-5821.41403411009
67,-57744.24387372303,-58040.16761596247
68,-247684.8032330347,-250622.08957840872
69,-11666.852284150591,-11748.468065539431
70,-71373.82920125959,-71592.88568583966
71,-12579.49746169596,-12819.076026531278
72,-24832.933484461853,-25018.65178160824
73,-14348.897326744978,-14489.056137279144
74,-10703.096298602823,-10747.48078719125
75,-11064.55682511427,-11110.113264004307
76,-6255.573187098544,-6258.619105716952
77,-17123.78566563797,-17417.555410372013
78,-9375.42945669281,-9459.943340932812
79,-33855.60814383637,-34229.19658665031
80,-37965.192316494176,-38358.227374871625
81,-26414.965241163376,-26813.307201267635
82,-29769.899326913575,-29883.292751880428
83,-34368.491672574295,-34752.99532070428
84,-126458.95203626892,-127180.63237081119
85,-18413.220217440732,-18686.93405631168
86,-4742.704652164745,-4796.485434328286
87,-9417.738214528996,-9637.828169033457
88,-12226.389148130453,-12277.83473030529
89,-12347.350967002418,-12367.958793158785
90,-4214.703516400535,-4260.66300037442
91,-5114.442143702373,-5186.170060907683
92,-92287.00448105102,-93015.36528434546
93,-5787.019564629437,-5810.794097975437
94,-59231.68117874986,-59407.85157421486
95,-18617.47711922103,-18988.06358348747
96,-11966.204731143207,-12154.131462293497
97,-8564.13191281166,-8674.79652111332
98,-12954.0237731982,-13220.202366505506
99,-8109.4551696125955,-8201.96050904022
100,-24862.19394099313,-25013.385105467554
101,-23440.011444025145,-23540.71853812537
102,-140759.2771827667,-141561.16830284332
103,-117660.30050515909,-118232.0391005539
104,-27915.16836024468,-28256.715704324102
105,-34486.74523541017,-34614.198525468935
106,-13837.19161638358,-14135.610486750535
