,Before,After
0,-7073.650651579578,-7185.531545773952
1,-5211.943210462501,-5275.060045541033
2,-5086.203421625385,-5152.174985420281
3,-3341.9423943404067,-3427.612375409241
4,-2632.8588185820286,-2707.004184014018
5,-5666.86505311041,-5804.734988042443
6,-6479.363130655931,-6573.432274948196
7,-10749.158349975452,-10911.921500423727
8,-4332.715601304274,-4471.704618001102
9,-5324.110413051864,-5386.000825202113
10,-6802.308808589286,-6922.190988974883
11,-4634.195674601341,-4741.148684323304
12,-9842.535112085196,-9941.414639191264
13,-18411.868885445765,-18626.706655459166
14,-8122.408860258293,-8192.78067748819
15,-2507.8103718455664,-2533.562382324283
16,-2247.8051345601134,-2316.0771927918368
17,-3698.2993538707933,-3740.642582299404
18,-4835.921004356845,-4951.3615706953515
19,-1939.366854824935,-1996.5147254816047
20,-4740.768395294666,-4849.941381089158
21,-10757.144704171978,-10903.13243976335
22,-6729.880165891471,-6844.00194436166
23,-9358.51084408636,-9398.7221305716
24,-6041.647033904896,-6184.3448780108665
25,-4056.6744492415532,-4119.877290849922
26,-9061.285454900342,-9150.847159274044
27,-2711.191625801049,-2801.4882776300965
28,-6772.155883263213,-6900.408853003068
29,-7044.012980008421,-7051.5903257596
30,-9361.656948046933,-9522.405793962875
31,-8967.315554684768,-9034.683024890537
32,-13277.23727381179,-13567.08212731899
33,-7045.024656367063,-7168.231303548076
34,-11259.364166106654,-11279.777127296291
35,-6467.258252202035,-6532.290259082682
36,-5404.4461431379605,-5479.017479552879
37,-4275.0947822660555,-4336.981386394133
38,-16374.345079098304,-16485.101334896448
39,-5251.7863482092525,-5270.335965314377
40,-2925.1596952178033,-3005.7817667354802
41,-4623.695765918483,-4748.1516329771475
42,-5907.1006518065215,-5993.113046944999
43,-5713.910572713953,-5856.378358047944
44,-8161.803945194939,-8340.870466650125
45,-9292.197776850018,-9386.009777097799
46,-6829.285873782456,-6981.538680188941
47,-5228.255079458138,-5441.900554783025
48,-5906.405309048361,-6028.879655360527
49,-4862.891477742149,-4948.1887458329265
50,-3337.442857391322,-3454.187532399656
51,-3855.7906260303116,-3942.8732008696757
52,-7238.183629644016,-7389.688329364962
53,-4569.9334808075055,-4643.733629351509
54,-4188.4133275494,-4323.944578570445
55,-9164.508319210054,-9353.858157267068
56,-7278.532013227628,-7460.761805264017
57,-4268.654201576561,-4362.69968309791
58,-1135.5154124065034,-1189.185651649579
59,-4011.5106474547433,-4129.997783070682
60,-1867.4047742909738,-1928.956620161312
61,-5063.72651001882,-5203.467081441773
62,-1876.6203225544398,-1911.6621847826696
63,-13275.609844010878,-13530.122827981686
64,-8629.57983333593,-8783.192371282696
65,-2980.9537234684776,-3054.8472127546747
66,-6839.765587287146,-7036.833121107214
67,-3715.0780116176193,-3769.9326089430665
68,-10410.305832239814,-10548.091458996065
69,-3076.1100395184294,-3158.773647384547
70,-2945.713859566401,-3022.501506194667
71,-10607.846852140015,-10724.191359416918
72,-4947.74960954951,-5060.537400671075
73,-6568.174642939428,-6650.0873696940525
74,-5754.514089062921,-5880.651832338791
75,-7527.301137788613,-7646.448871018044
76,-5978.828646396231,-6248.812936008303
77,-8338.520376418459,-8443.418556988207
78,-5007.301542634572,-5189.9806851405665
79,-4451.316082438949,-4572.0380305366525
80,-3628.4218978061263,-3725.1636289005296
81,-7940.870468206358,-8050.716109707656
82,-4726.23741241345,-4859.882735780238
83,-6081.136323951595,-6128.987089134945
84,-4517.263516659964,-4662.138976099974
85,-4364.178840082417,-4407.326187107333
86,-5709.103864159395,-5823.690796665215
87,-5100.168231356144,-5237.593167955167
88,-7181.98402055929,-7340.692038519195
89,-3260.909340256962,-3359.9650221070037
90,-3619.515347674608,-3645.8894043369773
91,-6940.5511610093,-7132.906927725293
92,-13878.10608406846,-14165.221949251461
93,-4311.822734198413,-4402.327750534906
94,-2981.523893962259,-3074.035753392494
