,Before,After
0,53.678128988435155,52.08410690464906
1,-2959.733098401812,-3068.8629912647707
2,-374.5624022628291,-386.7109965795998
3,-238.63702891820034,-254.24481684873783
4,-5573.66401349838,-5608.135635251098
5,-1436.0789460329404,-1512.3379709812411
6,-4228.529944936807,-4352.308955050744
7,-3988.8404913628665,-4099.489547931223
8,-2267.6724283494787,-2321.2230395040974
9,-1591.5799881811156,-1635.997880212665
10,-1612.0090163277123,-1648.90828151359
11,-1549.3095969158153,-1625.003039121698
12,-3321.9069172539375,-3443.250325389334
13,-1525.3179562537143,-1580.2318343937095
14,-1050.3318135480063,-1085.610594302961
15,-2348.4569900369934,-2411.510982856509
16,-7677.0381461020625,-7971.134111208854
17,-8589.445497471113,-8908.625343225489
18,-1857.808894794869,-1913.940027766736
19,-3966.5319048527435,-4022.1848352589886
20,-9131.324584771319,-9339.535354377063
21,-4625.6606827027135,-4732.863618472314
22,-1813.0529757624322,-1899.6538295603998
23,-3305.963102973801,-3441.4707176108036
24,-609.7836758193791,-629.2932377566223
25,-1461.1092199105597,-1505.6337672052193
26,-2646.2092533318882,-2727.225991019035
27,-2783.7898182183676,-2858.5456966864117
28,-3645.9140270544262,-3739.702002246662
29,-2376.548532423172,-2454.152983540725
30,-4345.24632606141,-4462.270904684187
31,-367.17845974540273,-389.29472177662825
32,-320.9570183073056,-332.5373899173019
33,-82.57167929689895,-88.08288945402644
34,-2778.897278210528,-2808.6599249031437
35,-1934.1962717909512,-1961.656644770262
36,-4826.7821523695475,-4968.46824283815
37,-5712.875761863823,-5878.957393985453
38,-1260.7970664035681,-1299.280028517227
39,-3379.2644538538907,-3497.1727439344368
40,-1259.482619932865,-1283.0430674684333
41,-4073.9107736968267,-4132.486590730061
42,-452.2902948579219,-482.3079566951421
43,-479.74452901571794,-495.66301179008667
44,-1530.25382507291,-1612.826304668055
45,-2578.05486780355,-2698.2342355155206
46,-233.75962707243542,-242.90189977143064
47,-414.31645968953023,-435.8052058284693
48,-2089.398310298307,-2185.082740166731
49,-5092.974416058851,-5272.5652203636655
50,-3405.8429113411084,-3500.8952095702516
51,-5626.988184849172,-5752.11261018664
52,-540.588330959526,-593.1330077480767
53,-2748.856849811636,-2780.6868060828983
54,-1680.9379283257663,-1759.7706774909793
55,-2861.9197672347746,-2956.3388479901428
