,Before,After
0,-22094.27746246574,-22157.31895307827
1,-24907.47829412428,-25030.496594082957
2,-20163.59547371228,-20247.60912335797
3,-21804.241762646016,-21890.468428447628
4,-88640.63790595431,-88692.10963662213
5,-26158.39467577843,-26451.896444084305
6,-33969.488432090744,-34132.371347165754
7,-12746.573056741518,-12830.882974737931
8,-16338.55379010697,-16370.890430034762
9,-21813.138908179935,-22031.96085431121
10,-22787.253354964152,-22890.33721692879
11,-73228.28743153912,-74232.27291036588
12,-19418.037510979775,-19554.913334045625
13,-19491.21487804212,-19595.086333201645
14,-11498.696407940952,-11587.75862540082
15,-38569.31946344622,-38734.80062716382
16,-24613.114592069225,-24715.146971753205
17,-25462.48670320148,-25698.289446638097
18,-23084.17007253887,-23216.79255503126
19,-24543.21931356127,-24769.285073813808
20,-16910.760380639334,-16997.215969904417
21,-5255.98921857385,-5280.453126918078
22,-22723.703840783397,-22883.56583196746
23,-23480.868594970223,-23726.742614516257
24,-47906.828040806875,-48554.58082897269
25,-41939.72619458122,-42177.57160469629
26,-29310.126487472517,-29542.62219013324
27,-33348.762557789014,-33557.0692508454
28,-73504.74935492816,-73587.74641130136
29,-27089.304749389732,-27392.751208876754
30,-31228.912843922713,-31356.577957272566
31,-4646.563628123022,-4700.034962795569
32,-21499.149315827977,-21654.531241221735
33,-26098.557595844904,-26221.06578198858
34,-54251.64961202687,-54447.29566755318
35,-21787.306024061807,-21828.07764524658
36,-63034.06639003015,-63079.64716600887
37,-20076.580579889902,-20296.995491252106
38,-18134.711185357737,-18339.066035585136
39,-56954.944634568696,-57567.1010225333
40,-49099.28407335828,-49617.04056804146
41,-25645.538842364775,-25798.034752837433
42,-15999.343926683092,-16138.459234834723
43,-57003.667610238284,-57267.42406960912
44,-65059.5271799409,-65774.92476320564
45,-68217.0658818271,-69170.19175083422
46,-85180.98030881173,-85329.17885483553
47,-39509.36193368747,-39689.11358048773
48,-55331.17391485406,-55620.30806175527
49,-38399.61972614765,-38671.55324601766
50,-53339.91040362388,-53573.67227397316
51,-43468.29392370451,-43611.82256950023
52,-58553.702504017056,-58791.057352634816
53,-60822.39774516576,-61090.59957722111
54,-25326.753019343672,-25389.699051525957
55,-86557.4088524152,-86941.31921372216
56,-7835.157493110336,-7962.987880619675
57,-23492.737704214058,-23629.93992333737
58,-16239.992980154095,-16328.868868862235
59,-22921.976464017585,-23128.65036499804
60,-30836.347256094934,-31170.461125166617
61,-16694.229499935806,-16869.07233611348
62,-18595.946494527816,-18877.98920860153
63,-21261.13126725011,-21351.944485281507
64,-25389.37596421551,-25437.632090373234
65,-220681.23623041334,-221143.20823595687
66,-32307.9803725233,-32344.159837388845
67,-25948.474536501384,-26134.411093692725
68,-13703.183788841992,-13814.377174908499
69,-38154.727147002515,-38279.99567201368
70,-38668.88901500759,-39044.90146053761
71,-4799.102445830044,-4821.033634483203
72,-18457.43461315047,-18639.937734852163
73,-31144.398292850812,-31515.80749248458
74,-36032.96981359112,-36417.48362806571
75,-25260.63120104592,-25393.43782940108
76,-84299.0498439014,-84801.82798391594
77,-47877.03242140758,-48262.20931964348
78,-20028.292489428368,-20190.91044265438
79,-19498.043879196935,-19542.63623265326
80,-12292.521807672732,-12408.382845483193
81,-9292.864633474474,-9378.007535369514
82,-36506.10727286654,-36919.57861425363
83,-17691.195125627517,-17952.392625707267
84,-16513.71614324627,-16686.662023887362
85,-6774.652701224616,-6792.168966127489
86,-29311.998376530413,-29522.38557892445
87,-22110.99191859515,-22224.781730465627
88,-34052.007820503284,-34435.212639474536
89,-8738.843111202315,-8786.254746340635
90,-56861.164695330466,-57222.40285786974
91,-22471.649180223878,-22622.657569594314
92,-36447.08912113266,-36702.14889462961
93,-12713.075983150653,-12842.848527264541
94,-18064.078654750614,-18229.014069148405
95,-20446.465540152916,-20512.740055116672
96,-28437.3890552414,-28569.382247470203
97,-44912.51566260429,-45305.818257839244
98,-17337.610063762135,-17441.565088543495
99,-26302.519675218482,-26604.00800466063
100,-60071.19342588086,-60136.60216886789
101,-47692.79663194485,-48003.21054063262
102,-45430.79605972627,-45920.65560653861
103,-23164.505256781904,-23432.439256189504
104,-12966.381189662376,-13079.564525011494
105,-38603.38353364421,-38928.498470558996
106,-25248.63295874925,-25358.759605076353
107,-52331.718340656,-52626.24841602881
108,-35900.70319649287,-35990.38930614178
109,-16862.899429957302,-16967.630308078828
110,-13725.9613942699,-13825.616111897478
111,-69058.84795157924,-69470.83758993131
112,-12006.56903735807,-12162.866806180036
