,Before,After
0,-10330.16505622606,-10438.793531986328
1,-17363.18180602988,-17523.301271504213
2,-14164.937041756628,-14266.465879274954
3,-28014.866668057115,-28309.55757503871
4,-23312.3756211018,-23503.864011264766
5,-40351.69850877245,-40584.09106456321
6,-16039.124082270806,-16248.841900381498
7,-35289.41662996818,-35642.76806686392
8,-15291.334471351582,-15423.634765369918
9,-13293.263616240318,-13435.523986553275
10,-14206.496343945022,-14348.413697952794
11,-19957.802559695185,-20169.66394254557
12,-47707.80422025559,-47976.13612178072
13,-13603.63805279615,-13691.43847450065
14,-19579.082742630657,-19775.18407194226
15,-14649.474565120317,-14808.958535409893
16,-8570.516506642607,-8640.268137716965
17,-8340.417233862318,-8422.050848069184
18,-16187.36138073503,-16325.853322921215
19,-20850.531340299065,-21029.04655951193
20,-22296.084662654128,-22501.954651834578
21,-20257.964418562784,-20372.134585802592
22,-15867.21642996167,-16111.020970957923
23,-19484.950540604594,-19670.646583385434
24,-43510.89557280634,-43884.718071762516
25,-42219.29495841866,-42537.22505134283
26,-14529.726884389722,-14644.443306109844
27,-9532.67992379317,-9645.441821867726
28,-7271.2825837316295,-7365.973803886504
29,-51261.93271356339,-51551.65054017214
30,-15737.311198842966,-15826.952213614428
31,-69891.2857154318,-70215.20349229594
32,-18013.0049795774,-18196.586942275782
33,-8425.98044760116,-8534.854902771016
34,-161908.56081422511,-162716.8166968906
35,-15007.793205924263,-15198.608621203015
36,-15301.036296176864,-15464.70881726444
37,-10399.815121034952,-10524.10776384213
38,-27743.938900144443,-27973.292067028262
39,-12627.154422553564,-12776.981755661685
40,-21776.70183590161,-22021.555230242047
41,-8434.343449637361,-8525.584952968724
42,-12340.941750593285,-12469.070921482153
43,-16769.78028362461,-16944.21696865776
44,-17502.36919895467,-17579.779394943027
45,-25317.601705569803,-25525.91382989766
46,-19251.218409737307,-19472.78644108845
47,-25857.838169844556,-26113.64663055906
48,-24105.749355581644,-24338.128279572527
49,-14631.977866644966,-14805.770756278847
50,-29016.36337860703,-29436.289911574597
51,-26870.84931338315,-27195.634540078678
52,-21783.617259409697,-22026.01800773958
53,-48347.35918821621,-48725.64637643293
54,-43315.95543814025,-43697.82257796356
55,-16867.947557761854,-16987.91200209254
56,-28615.141044950753,-28738.294031508838
57,-16669.824391380345,-16886.978220037563
58,-23327.436876196924,-23563.099003435163
59,-20753.96658498048,-20993.255340787775
60,-17102.884164803996,-17298.076970054055
61,-11643.474559678523,-11784.633694618267
62,-12362.958741085378,-12516.355333177064
63,-40682.1070104728,-41001.07681049871
64,-56031.147320592936,-56331.89061148139
65,-16911.067927450888,-17111.976804966267
66,-11742.678332181626,-11873.820370930254
67,-13206.103469090456,-13358.528855569286
68,-37313.289325171645,-37447.39301548081
69,-11996.195139389913,-12127.872295176503
70,-15759.29316081203,-15948.357384759316
71,-11856.462400418697,-11953.064935425644
72,-15590.325278082755,-15721.633712063911
73,-21913.657830181273,-22155.819793696144
74,-17032.04352159853,-17148.508002189195
75,-12939.97155472437,-13083.835842172346
76,-15697.121798389955,-15837.011468652121
77,-28152.900607698684,-28285.801283755165
78,-29269.459661044184,-29581.296852600004
79,-13556.191899367528,-13722.346265558432
80,-21217.96162728091,-21389.763228503725
81,-17217.222300199322,-17367.56240658552
82,-16386.458240108244,-16509.176710241012
83,-16631.034668634995,-16825.897872764366
84,-94844.33098022861,-95383.24446286134
85,-67254.66517222521,-67384.97553966113
86,-19987.369111034157,-20226.91993824144
87,-16459.975574665703,-16717.227403587338
88,-62750.54512855045,-63370.179295297195
89,-54372.677457826925,-54952.24127697052
90,-39259.1679768363,-39683.628232914845
91,-15150.005671827683,-15311.83047736093
92,-13064.325918365408,-13220.118565738801
93,-32235.53780365299,-32494.853380981953
94,-36666.18334327301,-36870.486807116285
95,-18823.506458853222,-19022.580653062327
96,-15665.555976764097,-15894.302167928241
97,-15600.674637302018,-15817.874865706191
98,-19306.73975955813,-19471.402527794435
99,-37238.980911560255,-37313.0523046622
100,-320.0818743648813,-320.2420523323594
101,-15309.228087497451,-15555.753796257568
102,-22207.74887201646,-22415.16245381758
