,Before,After
0,-2058.6656692287884,-2104.146753635435
1,-1706.8285468999752,-1716.1809982158725
2,-4122.835562863611,-4150.2921290122495
3,-6500.634610022235,-6556.364665705984
4,-9778.712972120267,-9863.18643787689
5,-14547.1087666758,-14711.371488851892
6,-8694.780284973627,-8712.029318344852
7,-10018.662654499312,-10022.069982720688
8,-9537.591273905078,-9612.13427009903
9,-7114.088372818555,-7147.192813626052
10,-7203.946501553579,-7234.829843795047
11,-2445.794882226906,-2471.3195199565757
12,-1768.6764545149504,-1774.4044008900717
13,-17167.22270576033,-17242.417638325267
14,-2290.967124003863,-2330.7474558018553
15,-672.7001310768389,-684.4249366640862
16,-3857.3658163308146,-3867.3090093956366
17,-37739.12966383866,-37739.12966383866
18,-1763.6623347552413,-1778.772152173099
19,-34341.762494720504,-34632.42798629209
20,-12135.557386139533,-12390.39659798679
21,-3759.0622127787356,-3775.431363660542
22,-20042.570329323193,-20142.40438254091
23,-4474.355712575182,-4520.616787779379
24,-2783.851028508651,-2810.4967693820727
25,-2305.8023051364107,-2326.4819350645753
26,-852.2154239495269,-869.6422271060422
27,-4668.5251495748635,-4739.610169683349
28,-4635.089811121496,-4690.996961770654
29,-1976.3808734388365,-1986.3912412947273
30,-5539.906515383511,-5576.203706396275
31,-13058.315773096461,-13186.437103222059
32,-8938.32284453145,-8956.310486325789
33,-2420.2780208384484,-2435.083574936099
34,-334.20333490369813,-350.6449640410967
35,-4654.640813590962,-4676.8277551161855
36,-7297.403874243872,-7380.202696078694
37,-1262.3009145051328,-1288.257593239682
38,-22306.034395398114,-22466.655397707742
39,-776.2102896308792,-797.573825948327
40,-5054.228407890486,-5107.4409277183695
41,-3415.2279819047367,-3416.72215009915
42,-7172.766490994167,-7231.371616772519
43,-13785.58776851518,-13787.965369724197
44,-3120.1851179536734,-3148.589602175765
45,-1758.6334097428355,-1772.2218776573193
46,-4637.1821023547745,-4728.803695198381
47,-17728.391684584563,-17799.218073814005
48,-121.33453847846381,-126.2060007457395
49,-4494.471221433982,-4548.265242001857
50,-2685.417999116492,-2715.826269326392
51,-147368.09359395131,-147368.2793724446
52,-8696.680176215463,-8763.001526046082
53,-43656.5263628003,-43657.60566211026
54,-2679.811954662886,-2726.22705289394
55,-3465.3826413725606,-3516.6398053698754
56,-41761.63115916503,-41761.63115916503
57,-5958.626366970797,-5977.780707928874
58,-9752.999978042419,-9821.41734372811
59,-4058.757437345915,-4097.886031683211
60,-7751.124704982728,-7851.663037591729
61,-6138.8340690465,-6175.0422851515805
62,-7043.141257642251,-7256.46128444578
63,-9661.602365221106,-9769.260371614026
64,-292.9201475179475,-299.61853744150636
65,-3583.834150477532,-3648.1776796635054
66,-6323.7215829304505,-6429.185239578642
67,-9703.358022322347,-9758.531138021206
68,-8063.573723110658,-8134.109183045925
69,-14146.870610834361,-14295.141300025087
70,-5543.801471056518,-5645.685045586472
71,-127.87832565762925,-134.7493186845746
72,-2710.7315035976535,-2744.127537524699
73,-26933.253232392155,-26992.558772325156
74,-52401.264347632685,-53668.78454082617
75,-4133.548610173342,-4148.513323966379
76,-1753.0442978752428,-1763.5405890795664
77,-3850.8836135858805,-3929.3294650288476
78,-4462.2892905519975,-4491.297065294222
79,-7378.406330300975,-7435.552617777972
80,-2040.4636098958742,-2041.5142457051481
81,-6668.065128174553,-6754.07260420711
82,-42359.9769882114,-42713.41381483378
83,-3584.3385837750566,-3587.3950724652254
84,-9951.306920954436,-10065.88177635109
