,Before,After
0,-10467.555862429857,-10599.170286183744
1,-16580.47345264663,-16710.502869361047
2,-8950.656551493537,-8982.718262684806
3,-16180.633520516945,-16326.072337653164
4,-4026.4129037957923,-4086.676717419325
5,-9470.476298426871,-9563.484429197066
6,-7539.218628030228,-7622.588780296775
7,-9304.452477806357,-9399.98759385251
8,-23010.44010072572,-23173.832486192474
9,-10482.791231110714,-10578.314847190944
10,-6668.050823956859,-6714.540383981374
11,-12544.55338311696,-12685.667682051562
12,-8322.705755467918,-8414.510351999343
13,-9143.26736313629,-9234.04554930301
14,-2525.9215433818636,-2541.849961104185
15,-2215.43112209529,-2247.0900462354834
16,-6304.213342202689,-6360.312335539316
17,-11055.994733085208,-11088.806264147868
18,-7819.869900237945,-7898.7430891425265
19,-3755.864122448876,-3790.835186358155
20,-2565.468134006568,-2590.938774740468
21,-1373.7029814374694,-1394.5332047125085
22,-8075.956726246455,-8141.762228603436
23,-13273.190734286365,-13369.239804091785
24,-3584.723272542763,-3629.577585763002
25,-9430.915550722086,-9521.900569580808
26,-12066.656814695736,-12146.468552190428
27,-16167.975921982867,-16346.017904238239
28,-5231.474850477098,-5265.370989091808
29,-9951.112546091968,-10093.013044817406
30,-4380.866322592587,-4446.037289146102
31,-8157.827732589521,-8248.207735055248
32,-5619.246585620181,-5665.541687934558
33,-13930.166898157666,-14062.89619102542
34,-17005.280884813987,-17106.134620343673
35,-6924.330864679845,-7007.721803667845
36,-7123.240028641769,-7195.096235347043
37,-13071.967261139365,-13224.369828952325
38,-8686.835327918152,-8726.198739938007
39,-10823.620621067304,-10904.81432821166
40,-68786.41950077948,-69445.47225081871
41,-19423.09288749894,-19537.92891607762
42,-10134.964865625128,-10243.901458589753
43,-8353.878427241014,-8426.609983627959
44,-19966.721163302354,-20054.720116505498
45,-17268.529029991467,-17523.74266375845
46,-28728.563753512837,-28971.74356869274
47,-9726.062229234982,-9815.185571708163
48,-9327.672769126748,-9404.411582658973
49,-11719.857564537087,-11857.296162144627
50,-9106.405371239167,-9210.701490972886
51,-6479.469407350668,-6537.3982131990215
52,-11824.164709576617,-11953.398263953157
53,-13146.700790884588,-13355.012380144217
54,-15753.298368728263,-15919.368770791536
55,-7978.52643636366,-8052.95657145093
56,-4622.6320185696795,-4699.7155996573065
57,-9325.631720741956,-9413.684098281874
58,-6192.649231540783,-6237.92963666431
59,-10587.326444819506,-10700.14819882564
60,-6139.678157413002,-6177.441520508375
61,-5781.749996999194,-5839.999784061896
62,-7403.901823016295,-7457.838099446261
63,-7238.831242163749,-7305.007808457608
64,-17155.894057609497,-17272.10400388047
65,-5750.225569010742,-5809.168635389403
66,-8419.32182503926,-8491.022692683964
67,-8508.910264197339,-8601.841606393104
68,-13289.33544098666,-13487.038042248734
69,-16839.416195658694,-16967.54131759498
70,-6875.022167017778,-6950.766642499698
71,-5706.500298337608,-5753.180380716889
72,-10989.905398725543,-11067.636807339863
73,-7102.260182528476,-7194.187926638963
74,-5472.913443650709,-5544.577176538707
75,-9939.352986527987,-10040.455508780591
76,-12559.23706395866,-12618.930999992552
77,-9140.454647230083,-9143.603207093625
78,-10295.798743745292,-10406.34752101254
79,-9811.251996164865,-9947.274765249755
80,-7642.209852064297,-7735.773148185298
81,-24229.44035116205,-24340.93019376018
82,-9328.112977907993,-9416.666662170292
83,-9440.856804750867,-9548.488487602412
84,-33156.50705591199,-33496.81763724116
85,-570.9931768580749,-574.0782487686582
86,-5032.412995607817,-5081.296188637201
87,-5408.78333121616,-5472.652862915999
88,-7459.464639205781,-7510.686618451622
89,-8701.14643053306,-8807.564666266633
90,-7678.297314793149,-7763.500091335526
91,-6985.67698080661,-7041.656805731862
92,-8929.600922833282,-9013.985411591439
93,-8897.864630563538,-8998.232863186036
94,-13853.742900326,-13972.292665539211
95,-8156.624665637258,-8234.138423189286
96,-7404.09987532768,-7499.519725176987
97,-17579.921790635257,-17778.280132564305
98,-9787.389951755275,-9887.635222917761
99,-18797.157646339627,-19095.008642397162
100,-16656.385682053104,-16869.029393059653
101,-5940.237375438147,-5991.662891497989
102,-27004.85007811403,-27353.757344456113
103,-12922.883986999044,-13079.346130398979
104,-11693.789292157533,-11887.578007279613
105,-7558.411790622525,-7632.295208714775
106,-10816.73657284566,-10886.34259865403
107,-9622.058695786176,-9737.136534878719
108,-49257.23184435202,-49672.67348689453
109,-8372.570288163146,-8444.651620247701
110,-9990.749302624612,-10089.315481484688
111,-6716.149499488329,-6775.617444751626
112,-8581.62579178198,-8698.116545312145
113,-8595.197235608843,-8680.990300924192
114,-4857.338352918536,-4886.115103721561
115,-6977.089287125247,-7056.79195761331
116,-10051.929406134328,-10087.381501513839
117,-5472.0260045949435,-5501.571922755839
118,-9523.787855372284,-9635.925583509383
119,-12077.053242210148,-12159.488176165769
120,-3949.424538828221,-4000.207971535083
121,-717.2375677801928,-740.2482935759965
122,-13046.104014837387,-13200.487059698873
123,-8700.371767988807,-8794.28189230113
124,-15825.867399030456,-15976.155355519446
125,-505.75537563703824,-515.7979573130145
126,-10187.691331841692,-10269.926074862351
127,-11298.308535707243,-11415.210526579021
128,-10831.340975882687,-10965.631770580334
129,-602.7655258349101,-615.1324505857903
130,-6264.90018892882,-6314.550390282629
131,-13418.330518832894,-13484.707981445466
132,-10717.517211296885,-10830.752950628266
133,-10588.353556146278,-10692.287526742923
134,-8252.521550882153,-8344.6364885006
135,-7082.627426837263,-7137.23644999851
136,-30425.173753227962,-30783.240070452342
137,-496.3583111791152,-508.24967614612865
138,-9682.798379070666,-9814.07567837494
139,-4651.817487701803,-4707.222269749815
140,-11400.797955695196,-11522.25185398067
141,-9183.322962787488,-9288.406924398547
142,-6921.426606168564,-7013.191868325477
143,-9474.456929961983,-9554.862018364181
144,-2478.4037444764394,-2519.8588625845096
145,-5668.092928383098,-5737.341142845405
146,-4229.569009064075,-4260.928233550677
147,-2140.6483235792252,-2147.371268626204
148,-26307.29658715751,-26472.92415355068
149,-32732.38485635769,-32888.64621483634
150,-31786.65505876006,-32155.93205862062
151,-31578.644695763935,-31887.14821220992
152,-22969.95286296109,-23105.82901087123
153,-18371.715317048765,-18572.22273902719
154,-21408.197553260656,-21608.447197119876
155,-25406.53638774614,-25593.864995045158
156,-21383.371839904357,-21549.43931479253
157,-23612.355382502607,-23803.85149141742
158,-23908.168002016875,-24094.949192892444
159,-22152.927212561302,-22310.247996298105
160,-22694.333569659848,-22784.52083402988
161,-22836.993351569487,-23020.001396868087
162,-37380.57434385411,-37696.46062248529
