,Before,After
0,-733837.0310336803,-735779.6993626485
1,-1306828.2111414343,-1308232.4144247784
2,-2962911.784460202,-2966455.341115606
3,-10987.93141640871,-11026.642737095555
4,-496977.74796851544,-497578.3220993032
5,-16624.188467876145,-16624.658706124275
6,-55182.32171088744,-55182.32171088744
7,-89054.66192600617,-89063.12520409851
8,-23975.488827074932,-23975.581793609177
9,-15407.411655794249,-15407.424383170388
10,-15619.726675376252,-15619.726675376252
11,-5857.130285830286,-5857.488157559352
12,-19744.549138963255,-19746.171113345594
13,-95947.71518575912,-95947.71559619134
14,-3357742.7811194393,-3361902.0055373656
15,-353029.4125326791,-354000.52388277167
16,-988310.5964466797,-989183.7242233633
17,-824136.2399287319,-825166.7949273962
18,-1804896.2142777226,-1806483.2569636328
19,-18870.731833850794,-18870.731833850794
20,-445681.5382504242,-447744.15390183375
21,-372108.80627852783,-373108.8456535575
22,-311508.72865707095,-312201.2067891706
23,-664899.3670340825,-666266.8630858314
24,-33763.46931015702,-33763.46931015702
25,-7780.11416498619,-7790.734428492836
26,-59775.53861420319,-59807.34578126596
27,-19472.42076751276,-19482.470427334803
28,-139766.77700418534,-139801.44984519007
29,-16765.673615653744,-16765.673615653744
30,-30061.348059330914,-30115.237994826544
31,-10402.129664911849,-10402.129664911849
32,-11400.70044809169,-11401.804034079327
33,-27571.38201882292,-27571.52597116911
34,-26919.81357098822,-26919.81357098822
35,-1892492.8020016495,-1894860.509698662
36,-856059.3741288508,-857201.9236697884
37,-554348.8714512901,-555186.9689839917
38,-1263753.5010165046,-1269859.5886032444
39,-1157784.396299788,-1159349.4367681264
40,-403492.2841457514,-403567.5777139959
41,-436576.4505215666,-436850.02041343
42,-1354390.5325470662,-1355921.0719880087
43,-4468252.83561204,-4474219.883416991
44,-1432170.7459745293,-1432515.1579985968
45,-936309.0475966674,-937383.6832288891
46,-541895.2145951568,-542148.9255306094
47,-28038.888028350902,-28042.75838890308
48,-854063.8576513077,-856051.8330022623
49,-326251.0717549628,-326466.15344172774
50,-1187171.2430922585,-1189521.3948429392
51,-4035767.9627988636,-4041225.3710213937
52,-56779.65654700536,-56926.00386132083
53,-536005.5675474355,-538133.0461802563
54,-2202262.2487562844,-2205848.2316023163
55,-571489.3846278355,-574021.7256427283
56,-8725421.332364809,-8729889.20729125
57,-839691.7175212987,-842207.7226809851
58,-537349.876889345,-538331.3596956385
59,-224991.43856046844,-225134.94270594537
60,-693941.0441529572,-695186.3469487908
61,-2800579.4142121514,-2801908.231117186
62,-701043.2809958148,-701734.7641961309
63,-651326.1835622524,-651465.7947875955
64,-2805618.39376581,-2817310.4974229108
65,-2893675.3274010234,-2894508.768778054
66,-46650.99745579084,-46650.99745579084
67,-114587.21087632581,-114717.42081229028
68,-4103947.131793507,-4104819.8460469935
69,-1142077.0345012655,-1144691.7602567163
70,-711612.4061952652,-712387.1119208173
71,-429515.43235710956,-430529.0993921998
72,-310878.73814616917,-311674.19299688487
73,-1340168.431226032,-1341504.879312702
74,-1379472.6148066076,-1382607.050792634
75,-911549.5200087015,-912909.1076739783
76,-924024.0000172051,-925677.87155918
77,-2259287.690843074,-2260567.4356842623
78,-182197.84418239747,-182382.01663147597
79,-3322315.7887364402,-3324463.6256043087
80,-320736.5488174444,-321818.18744159676
81,-32788.73897341299,-32854.469509963914
82,-7399162.085665454,-7400213.824081045
83,-344938.47423925,-345348.0636439863
84,-590955.6241888806,-593497.7948638004
85,-643001.5174947436,-643441.4800000859
86,-22670.092313482513,-22671.030196283
87,-1784250.5007781947,-1785547.4300371916
88,-412173.0216369688,-413065.3427159664
89,-26523.372223676502,-26568.708485765757
90,-2139594.930964472,-2142323.2208071
91,-88627.59658997826,-88932.42795910696
92,-240533.84864515183,-241027.9140195958
93,-311087.91240915825,-311098.55171934626
94,-255461.82358479616,-255997.91223500343
95,-2512964.4984006044,-2514067.960628146
96,-729530.3182216125,-729530.3182216125
97,-768724.1552022521,-768952.3484607204
98,-21989.31940757901,-22009.977502534035
99,-562517.1513871734,-562559.2058834325
100,-132052.96657060797,-132199.2088073672
101,-3224510.861230839,-3224602.216748952
102,-532298.5168974655,-532435.4853120546
103,-412156.7185268085,-412436.3203070804
104,-429145.1936207336,-429147.9432302256
105,-499493.4464280537,-501079.8551883276
106,-409796.91176542215,-409904.47365174175
