,Before,After
0,-12100.493934789863,-12217.209641638956
1,-17637.81685106796,-17733.752546121177
2,-4665.4534222935845,-4708.49853780669
3,-56688.16745529965,-57517.179038190836
4,-10540.917021970483,-10656.471449776798
5,-22681.88902313773,-22983.767860933487
6,-12166.354846937458,-12310.38764251732
7,-10570.069058470617,-10719.419095587018
8,-11566.325412078586,-11821.64771751285
9,-20198.18902460143,-20458.23894897384
10,-51430.09322059162,-52069.59490344464
11,-27162.19191577845,-27712.89626765115
12,-5660.91632337258,-5787.457121281818
13,-13720.951808379907,-13772.701628888972
14,-11407.306492380783,-11504.086287468737
