,Before,After
0,-28739.340605923055,-29076.31886130559
1,-11686.686049920841,-11799.517392708338
2,-38556.66294805362,-38706.37514338681
3,-46853.62652763039,-47043.291454626284
4,-16220.437782925106,-16358.306540321892
5,-20071.75337074019,-20499.26661823899
6,-4903.077223384837,-4966.127581743767
7,-11338.146763445784,-11414.875495691525
8,-16151.245221484161,-16344.413379127493
9,-6144.435993523714,-6192.900112615126
10,-13567.534473475234,-13684.094109988837
11,-12890.285160216648,-13215.34486261634
12,-7544.066445682994,-7608.069262019514
13,-10231.279605340444,-10339.838638122506
14,-22005.254141460682,-22378.878124301857
15,-21203.68428028707,-21504.228547531246
16,-16988.794912626814,-17321.350041553458
17,-1469.175916099094,-1484.4790737646176
18,-37926.671332743914,-38463.84824090648
