,Before,After
0,-40425.48811685844,-40504.1567455877
1,-49032.37714578722,-49280.34515950582
2,-328620.6806840828,-329192.9327335062
3,-134362.74496645248,-134716.3323089344
4,-77030.87123015289,-77240.20360554499
5,-37636.01697419409,-37797.78905183515
6,-89755.57303305942,-89812.77680362707
7,-22323.449521484366,-22369.002604566347
8,-146895.59955575838,-146958.6830153253
9,-33772.925397482984,-33827.495525707156
10,-35370.67359933632,-35432.31619236462
11,-67084.91796895118,-67253.80511258112
12,80.32893141945782,80.32893141945782
13,-223058.96937829565,-224349.04280017054
14,-8326.98185743683,-8398.74630804499
15,-123269.71740801733,-124176.18855773941
16,-51587.496858984654,-51636.97747673385
17,13.634794808911037,12.962687857225145
18,-40194.86818784099,-40501.33693500479
19,-18597.311376392918,-18737.40784441202
20,-14379.91172482289,-14397.924010289824
21,-25872.602898672143,-25965.63789045945
22,29.357730059729306,29.357730059729306
23,-36423.55249768481,-36531.376336621855
24,-11185.85166717049,-11238.196370673735
25,-78019.80815527872,-78207.75949513637
26,-117338.83430277626,-117638.60804868533
27,-417.1148787587307,-423.74705427406286
28,-42646.54342901328,-42830.595025379655
29,-9263.825325272705,-9328.668955853143
30,-30840.526146673066,-30927.597817659018
31,-51289.855040144976,-51447.86142762198
32,-15133.218627950231,-15220.251089918578
33,-416914.12311752414,-418132.8931342857
34,64.266030924887,64.266030924887
35,-89979.5125512054,-90046.19348856442
36,84.20037530927549,84.15787303347643
37,-5837.6733802615045,-5847.747411766294
38,-68811.49432438228,-69226.08373520833
39,-152025.15140890868,-153462.610336047
40,-14576.449383265384,-14705.482073584795
41,-73410.08282931094,-73439.73772645644
42,-81955.72791091143,-82193.3810127129
43,-63948.20194714357,-64359.50175321123
44,-23125.88743658435,-23296.50032780245
45,-81588.12914426129,-81841.29600293253
46,-277199.8819352843,-278669.50348925195
47,-81170.16320484344,-81330.95983100448
48,-58893.95802694112,-59101.08822863992
49,-42504.56309031284,-42641.948030966785
50,-46643.30859051203,-46681.455883960254
51,-12354.364974790646,-12389.529409029117
52,-20644.87187058835,-20725.393071336734
53,-803381.1322060977,-806921.1829207282
54,-687807.6725821387,-688432.5508519991
55,-19241.192830939748,-19280.957364173355
56,-3002304.8085748646,-3043238.521004586
57,-419180.11571964755,-420846.6222902532
58,-50621.753613291796,-50703.43427305657
59,-368749.7127414266,-368950.1033097806
60,-153620.20262906942,-153916.7335529515
61,-62194.45647606106,-62261.02818237873
62,-451983.2428358936,-453489.3283440401
63,-29071.741579203815,-29103.412366002896
64,-385988.19864907477,-386728.8363237918
65,-38049.198915693305,-38158.60719993981
66,-522806.6052143805,-523080.10103918874
67,-54305.07054085538,-54414.476168954796
68,-16784.5266412232,-16858.07588510706
69,-43748.319076133834,-43767.16674569198
70,-25294.20362399962,-25397.288522835916
71,-47904.64975321049,-48114.657771725826
72,-42012.70229684355,-42160.90993830143
73,-157600.3177292872,-158133.6380585935
74,-19751.71981498152,-19815.040576154428
