,Before,After
0,-2497.3050684877803,-2586.5431115176507
1,-1304.166124872566,-1342.3897917011511
2,-2903.995953921334,-2991.6362377653727
3,-1839.3193997834728,-1899.9905877917888
4,-9759.148844592011,-9836.219785664556
5,-6707.03558401413,-6784.611728657826
6,-1685.3966640132303,-1733.3974662426915
7,-616.6007964504715,-640.877127331684
8,-6350.942738638557,-6452.950566352854
9,-2477.5434672466276,-2573.1801502307712
10,-1168.3214605287415,-1177.1996895281895
11,-1974.3234497366766,-2018.2710836551041
12,-6115.008884912821,-6191.848343932358
13,-2320.876067516427,-2391.4298532171556
14,-635.9144388488457,-657.4187351367552
15,-1280.9503118006119,-1309.5324566899446
16,83.23638801984325,83.18274005072338
17,-4391.176862022921,-4475.7335524712835
18,-2180.2052268543316,-2221.8485965024474
19,-771.3192605079337,-805.2258555466726
20,-799.2982878509753,-820.3551033575081
21,-3327.693405117238,-3398.800132075727
22,-1133.9672508212973,-1168.5713343587
23,-4204.892172091267,-4272.0927020259205
24,-11157.7492902156,-11300.453263060204
25,-8048.372057981175,-8173.161616086453
26,-35.82207785163359,-40.38621927322348
27,77.20371880169351,77.17420032700657
28,-6920.0187683928125,-7048.443416925954
29,-4932.277039251945,-5025.59556895898
30,-3119.2720493596144,-3224.4753800275494
31,-1048.604102075861,-1079.358859094554
32,-2277.492063368071,-2338.5367914230587
33,-6357.136735330273,-6489.918982564556
34,-3555.7536025580625,-3608.883167752134
35,-787.8627360317133,-809.0669529219301
36,-1587.532619773845,-1620.1469395316117
37,-17086.08960549404,-17138.835111222572
38,-1277.9151695046294,-1331.9304805143609
39,-6022.060564777842,-6093.465987820441
40,-2506.4161190068066,-2536.4574928266215
41,-2126.610976368828,-2176.7881466404915
42,-3418.8531832079384,-3522.7752492229665
43,-1693.1363299802445,-1725.7409234043464
44,-2641.342811566186,-2688.9102708237338
45,-2142.4201063143896,-2222.8268330861392
46,-426.11084666592615,-431.5062880970834
47,-1138.6860907854145,-1169.9790138159758
