,Before,After
0,-24568.56625340294,-24568.56625340294
1,-30681.956170917056,-30686.677858283707
2,-7388.385833364263,-7391.312295526275
3,-11405.734108381339,-11405.734108381339
4,-37389.16561188379,-37389.16561188379
5,-89766.41998807965,-89817.87672490516
6,-12599.556465038264,-12623.219745747803
7,-24263.42356811224,-24263.909818453518
8,-4828807.912190902,-4892802.87103287
9,-60058.45446867692,-60058.45446867692
10,-24081.842530419537,-24086.916531637988
11,-27172.186227210652,-27172.186227210652
12,-207175.9748750207,-207175.9748750207
13,-9358.361573075956,-9377.813888669321
14,-23921.82763052374,-23921.82763052374
15,-196928.57312523195,-196963.76555483392
16,-66182.19118915743,-66182.19118915743
17,-23259.112468212843,-23259.353086979096
18,-70748.92543342797,-70748.92543342797
19,-12322.91817929154,-12324.907350931746
20,-23260.906611490715,-23260.906611490715
21,-13399.44903982528,-13404.652473824606
22,-46673.680366068314,-46673.680366068314
23,-770769.579099298,-770921.4258248861
24,-139437.94494588175,-139529.67763183973
25,-2518501.3538670917,-2518501.3538670917
26,-11148.500436652022,-11150.842381722832
27,-12423.931605884802,-12437.053292007004
28,-13792.896622050825,-13793.46073850168
29,-16531.6307491931,-16533.567030717382
30,-13318.982622350588,-13339.897076227508
31,-8475798.669719823,-8533062.17376997
32,-411064.5329823711,-411277.67397057323
33,-11274.26504721156,-11274.873401048591
34,-19696.3716393592,-19696.3716393592
35,-18203.45481805903,-18210.88097165275
36,-255331.88908603584,-255331.88908603584
37,-42503.378429912984,-42520.89255448723
38,-229959.82818952436,-230098.2115766628
39,-23109.57839768749,-23134.491592049777
40,-27051.730044024895,-27057.101929873206
41,-13949.002156586817,-13964.957415073217
42,-236821.65400945838,-237006.46245804257
43,-214627.0530703745,-214787.35811816188
44,-365569.5119458886,-365610.94358263287
45,-138036.4833558268,-138036.9166813085
46,-68043.06433933497,-68043.06433933497
47,-11033.696087269731,-11035.03127361791
48,-127761.6461731913,-127903.91218905151
49,-34892.597645396476,-34892.597645396476
50,-21209.599572777643,-21209.62538501432
