,Before,After
0,-45113.01344313104,-45631.13201572013
1,-9858.989453335014,-10004.541639144749
2,-67418.96560657842,-68233.59441130704
3,-70778.07172201679,-71808.67047668208
4,-63722.25613191105,-64692.62896666934
5,-58372.16825904619,-59324.84880692967
6,-54993.36473775317,-55543.751888040155
7,-16453.80997929157,-16860.287361383267
8,-33297.317644956165,-33660.7018442441
9,-19880.562071231714,-20109.852010270868
10,-38107.768243404,-38513.5209053316
11,-30703.237605617975,-31072.97763398274
12,-95999.96746024575,-97228.62348941246
13,-43375.05475718919,-44022.001325126854
14,-19544.908075789317,-19849.80931328501
15,-32934.92756274417,-33319.28600671573
16,-9670.491403364713,-9999.969228152608
17,-17623.615518474806,-17791.468255468993
18,-15821.260897241049,-16039.156461436414
19,-26771.39979744274,-27135.573500524642
20,-103857.64201596826,-105303.58880662819
21,-47131.321301447846,-47878.89441125204
22,-58664.87785143171,-59368.26678832435
23,-98735.60672292208,-99816.08930378659
24,-44102.88309123321,-44563.46529283271
25,-27769.39627835608,-28131.838384608272
26,-15072.654713686803,-15244.585634802697
27,-51740.52956019459,-52114.875178207236
28,-33984.19644079759,-34452.47663544218
29,-17774.87425716661,-18028.582515153983
30,-63647.919229422296,-64368.09609864908
31,-66218.37338058275,-66865.3219320063
32,-98072.68240032396,-99059.94616376035
33,-41551.53215404968,-42179.01431140347
34,-27207.22274407434,-27607.976872048126
35,-35745.863264844396,-36389.80773249876
36,-43025.204890360124,-43524.591750507534
37,-48299.34032605934,-48809.275861601665
38,-39739.522536051285,-40218.896778086135
39,-48145.78562426162,-48498.91256347481
40,-106597.78569488986,-107341.87075214727
41,-77356.06061577184,-78259.27016765976
42,-63472.48460408372,-64258.30897310648
43,-49096.84234339096,-50055.802159801504
44,-24640.800200840462,-25125.418553621173
45,-49317.63904280142,-49860.427664166615
46,-54658.83431562204,-55542.857847001476
47,-62647.976298909125,-63477.08968813714
48,-69183.42538515112,-70456.84388035578
49,-64806.89640555969,-65442.675498732504
50,-83856.92728635861,-85067.4644137604
51,-48206.21683350353,-48753.76723199892
52,-24032.468395025957,-24408.634910185676
53,-41843.92031821223,-42328.26006702882
54,-68627.6630391605,-69729.45767937855
55,-22636.169482848647,-23027.367585134536
56,-100014.26467134111,-101238.90486298897
57,-28223.02566305353,-28637.243502201505
